agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO02973,False,False,False
False,False,False,False,False,False,True,ECO01252,False,False,False
False,False,False,False,False,False,True,ECO05394,False,False,False
False,False,False,False,False,False,True,ECO08386,False,False,False
False,False,False,False,False,False,True,ECO08922,False,False,False
False,False,False,False,False,False,True,ECO01855,False,False,False
False,False,False,False,False,False,True,ECO00200,False,False,False
False,False,False,False,False,False,True,ECO03998,False,False,False
False,False,False,False,False,False,True,ECO03898,False,False,False
False,False,False,False,False,False,True,ECO01247,False,False,False
False,False,False,False,False,False,True,ECO05984,False,False,False
False,False,False,False,False,False,True,ECO10951,False,False,False
False,False,False,False,False,False,True,ECO09428,False,False,False
False,False,False,False,False,False,True,ECO07763,False,False,False
False,False,False,False,False,False,True,ECO05741,False,False,False
False,False,True,False,False,False,False,ECO04262,False,False,False
False,False,False,False,False,False,True,ECO05477,False,False,False
False,False,False,False,False,False,True,ECO03605,False,False,False
False,False,False,False,False,False,True,ECO07263,False,False,False
False,False,False,False,False,False,True,ECO10157,False,False,False
False,False,False,False,False,False,False,ECO11998,True,False,True
False,False,False,False,False,False,True,ECO12185,False,False,False
False,False,True,False,False,False,False,ECO04911,False,False,False
False,False,False,False,False,False,True,ECO00984,False,False,False
False,False,False,False,False,False,True,ECO09643,False,False,False
False,False,False,False,False,False,True,ECO06350,False,False,False
False,False,False,False,False,False,True,ECO05061,False,False,False
False,False,False,False,False,False,True,ECO04712,False,False,False
False,False,False,False,False,False,True,ECO08955,False,False,False
False,False,False,False,False,False,True,ECO07119,False,False,False
False,False,False,True,False,True,False,ECO04175,False,False,False
False,False,False,False,False,False,True,ECO00617,False,False,False
False,False,False,False,False,False,True,ECO04259,False,False,False
False,False,False,False,False,False,True,ECO09475,False,False,False
False,False,False,False,False,False,True,ECO09054,False,False,False
False,False,False,False,False,False,True,ECO06450,False,False,False
False,False,False,False,False,False,True,ECO05344,False,False,False
False,False,False,False,False,False,True,ECO00332,False,False,False
False,False,False,False,False,False,True,ECO09224,False,False,False
False,False,False,False,False,False,True,ECO12403,False,False,False
False,False,False,False,False,False,True,ECO03174,False,False,False
False,False,False,False,False,False,True,ECO05982,False,False,False
False,False,False,False,False,False,True,ECO11786,False,False,False
False,False,False,False,False,False,True,ECO11500,False,False,False
False,False,True,False,False,False,False,ECO07935,False,False,False
False,False,False,False,False,False,False,ECO09726,True,True,True
False,False,False,False,False,False,True,ECO05663,False,False,False
False,False,False,False,False,False,True,ECO09990,False,False,False
False,False,False,False,False,False,True,ECO04693,False,False,False
False,False,False,False,False,False,True,ECO05812,False,False,False
False,False,False,False,False,False,True,ECO07467,False,False,False
False,False,False,False,False,False,True,ECO06382,False,False,False
False,False,False,False,False,False,True,ECO05080,False,False,False
False,False,False,False,False,False,True,ECO04544,False,False,False
False,False,False,False,False,False,True,ECO04457,False,False,False
False,False,False,False,False,False,True,ECO07840,False,False,False
False,False,False,False,False,False,True,ECO09426,False,False,False
False,False,False,False,False,False,True,ECO11475,False,False,False
False,False,False,False,False,False,True,ECO09580,False,False,False
False,False,False,False,False,False,True,ECO09599,False,False,False
False,False,False,False,False,False,True,ECO10486,False,False,False
False,False,False,False,False,False,True,ECO02548,False,False,False
False,False,False,False,False,False,True,ECO00027,False,False,False
False,False,False,False,False,False,True,ECO02848,False,False,False
False,False,False,False,False,False,True,ECO02948,False,False,False
False,False,False,False,False,False,True,ECO06742,False,False,False
False,False,False,True,False,True,False,ECO07913,False,False,False
False,False,False,False,False,False,True,ECO10300,False,False,False
False,False,False,False,False,False,True,ECO10786,False,False,False
False,False,False,True,False,True,False,ECO03933,False,False,False
False,False,False,False,False,False,True,ECO07440,False,False,False
False,False,False,False,False,False,True,ECO07515,False,False,False
False,False,False,False,False,False,True,ECO07354,False,False,False
False,False,False,False,False,False,True,ECO10673,False,False,False
False,False,False,False,False,False,True,ECO00190,False,False,False
False,False,False,False,False,False,True,ECO02062,False,False,False
False,False,False,False,False,False,True,ECO00347,False,False,False
False,False,False,False,False,False,True,ECO08439,False,False,False
False,False,True,False,False,False,False,ECO05495,False,False,False
False,False,False,False,False,False,True,ECO04044,False,False,False
False,False,False,False,False,False,True,ECO12188,False,False,False
False,False,False,False,False,False,True,ECO03525,False,False,False
False,False,False,False,False,False,True,ECO10980,False,False,False
False,False,False,False,False,False,True,ECO11634,False,False,False
False,False,False,False,False,False,True,ECO07069,False,False,False
False,False,False,False,False,False,True,ECO02253,False,False,False
False,False,False,False,False,False,True,ECO00700,False,False,False
False,False,False,True,True,False,False,ECO12537,False,False,False
False,False,False,False,False,False,True,ECO10141,False,False,False
False,False,False,False,False,False,True,ECO06448,False,False,False
