name,name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,NAME,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rs0261,rs0261,0.03,0.572756,0.05,0.02,0.03,0.11,11.48,0.2,11.47,18.32,0.08,0.68495549,0.02,0.07,0.04,0.27,156.58807,0.14,0.06,12.55,6.31,15.21,13.16,14.53,0.890911,2.38278,-0.09,11.85,14.17,0.61,0.48,14.93,0.03,0.02,3.73068,4.75941,2.23881,1.92066,10.01,-99.0,6243.64,-99.0,0.02,-20.37,3.41151,13.89,0.5,0.06,0.04,6249.6,0.03,0.04,0.02,11.86,16.61,1,1237648722294210614,1.0,76.1614,306393791051360256,0.6709999999999999,0.40447,0.46422,0.28022,0,1,92.2449,750.0,588848900976148548,0.61116,76784280834932736,0.0001,306393791051360256,0.6678,1237648722294210614,0.0,10.15,0.0,1.2917714,9.15807,9.16091,3.8253793,9.91,1.1415,1.15598,ECO08732,1.17831,1.0,L,1034630000.0,0.527288,0.0,0.0,0.0,0.00861793,14.9163,0.0078,2.67141,0,0,0.0,ALFALFA,169302000.0,0.0,46.5698,0.0562029,1.0,0.0,-20.3688,0.0,0.0,11.6149,1,11.6049,1.17952,0.0,1.0,10.1265,6860.0,10.0825,0.0,0.0,0.0,0.339097,0.285632,10.03,0,0,0,0,0,0,0,1.7907099999999998,1.54722,2.83136,2.69133,-20.8953,3.73198,0.315329,1.35598,0.5065729999999999,19.021,0.4259,0.2145,0,10.065,rs0261,0.0,-0.7460388000000001,0.0,-0.7460388000000001,71.49035,7.672110000000001,124.2469,6.049201,214.1655,6.3356379999999985,12.39142,5.860467,522.0494,8.152883000000001,206.4784,6.814796,570.9513,9.217431,57.08295,5.615189,112.5573,6.1599900000000005,499.2899,4.2888980000000005,2583.349,19.66409,1505.974,12.93629,541.6896,9.283936,448.9442,9.141063,54.87173000000001,6.6437610000000005,0.0,1.055058,625.3676,9.777512,0.0,0.0,372.217,81.24651,-9999.0,0.0,120.4297,11.81637,93.65645,9.569862,171.3943,8.494315,0.0,0.0,0.0,0.0,0.0,0.0,419.5796,11.03018,182.8658,4.113273,522.4738,11.75221,31.82816,9.707941,93.22286,8.960768,420.3624,6.175693,2084.854,30.56207,1236.36,18.1638,469.5238,13.30478,385.3576,13.62379
rs0817,rs0817,0.01,0.560783,0.01,0.01,0.15,0.03,11.9,0.06,12.04,16.12,0.02,2.6791284,0.17,0.24,0.13,0.08,185.85052,0.04,0.27,12.62,5.68,15.21,13.23,14.49,0.8761200000000001,2.37516,-0.07,11.77,14.17,0.63,0.15,20.27,0.32,0.03,3.4056900000000003,4.34578,1.90665,1.59131,10.39,-99.0,6950.91,-99.0,0.09,-20.54,3.31525,13.92,0.15,0.02,0.11,6950.0,0.02,0.08,0.03,12.08,16.48,1,1237651754012901399,0.717498,27.238000000000003,584475955494414336,0.7738,0.75543,0.85664,0.711,0,1,11.8147,18.665,587726032787996684,0.6269100000000001,146310068730593280,0.5815,584475955494414336,0.8398,1237651754012901399,0.0,10.43,0.0,1.1524903,9.85071,8.83533,1.8271805,10.37,1.1105200000000002,1.18472,ECO11443,1.16792,-1.0,E,488876000.0,0.0,0.0,0.0,0.0,0.010261200000000002,0.0,0.0284,0.0,0,1,0.0,GBT,0.0,0.0,0.0,0.0,1.0,0.0,-20.6602,0.0,0.0,11.9039,1,11.7179,1.18739,0.0,1.0,10.4575,8649.0,10.4435,0.0,0.0,0.0,0.025604,0.0256039,10.39,1,0,1,0,100,0,0,2.35662,1.87387,3.3686,3.29526,-20.4932,4.30724,0.550203,1.56219,0.8618790000000001,0.0,0.1311,0.0,0,10.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs1139,rs1139,0.02,0.733599,0.03,0.01,-99.0,0.07,-99.0,0.13,9.92,17.63,0.05,4.5425136,0.02,-99.0,-99.0,0.18,204.56594,0.1,0.08,10.97,16.48,13.43,-99.0,12.64,1.09113,2.43914,-0.05,10.24,12.22,0.58,0.32,69.83,0.03,0.02,3.9949,4.94427,2.64688,2.28935,11.19,-99.0,6951.53,-99.0,0.02,-22.42,3.38852,11.94,0.33,0.04,0.04,6875.7,0.04,0.03,0.02,-99.0,15.31,1,1237671958054502484,0.968803,179.893,960423171813566464,0.4848,0.2481,0.31711,0.057009,0,1,164.84099999999995,226.481,587729158970736727,0.580585,240323100216918016,0.1393,960423171813566464,0.4756,1237671958054502484,188.164,11.23,0.0,1.4819038,9.73775,9.36193,5.4427733,11.07,1.06999,1.01157,ECO04221,1.00458,1.0,L,1643610000.0,0.07135369999999999,0.0,0.0,0.0,0.0535686,8.51218,0.0092,12.1915,0,0,0.0,S05-AO,98061500.0,0.0,169.77200000000005,0.27779,3.0,0.220987,-22.5779,0.0,175.21900000000005,12.8039,1,12.8919,1.05732,0.159991,5.0,11.1335,3841.0,11.1125,0.0,122.659,12.9372,0.028189099999999995,0.228819,11.07,1,0,1,1,1000,0,1000000,2.14279,2.27867,3.52808,3.0343400000000003,-22.6762,4.4196300000000015,0.599068,1.98436,0.8933770000000001,0.0,0.2845,0.0,0,11.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs1240,rs1240,0.02,0.176847,0.04,0.02,0.79,0.09,13.49,0.16,13.24,0.38,0.06,0.13031604,0.17,0.09,0.23,0.21,208.18562,0.11,0.2,14.07,7.15,15.69,14.56,15.38,0.291319,1.34227,-0.13,13.45,15.26,0.56,0.38,14.03,0.13,0.1,2.07154,2.82869,1.02059,0.906122,8.81,-99.0,4528.73,-99.0,0.08,-18.79,2.09941,15.08,0.39,0.05,0.03,4527.9,-99.0,0.15,0.03,13.93,16.5,1,1237648704587956250,0.065785,16.403,338990737418905600,0.5559,0.27113000000000004,0.29666,0.12679,0,1,3.6969,17.9917,587722983363051556,0.6474850000000001,-999,0.5209,338990737418905600,0.8284,1237648704587956250,0.0,9.03,0.0,0.75620344,7.91867,9.24101,0.84935901,8.73,-99.0,1.06838,ECO04340,1.01619,5.0,L,1244170000.0,0.124518,0.0,0.0,0.0,0.0663453,13.1,0.0674,5.31429,0,0,0.0,ALFALFA,69120600.0,0.0,139.935,0.0214361,1.0,0.0,-18.7831,0.0,0.0,11.0839,1,11.1689,1.17068,0.0,2.0,9.4075,3922.0,8.9225,0.0,0.0,0.0,2.01433,2.01434,8.81,1,?,0,1,0,0,1000000,1.0959299999999998,0.7782,1.72849,1.78993,-18.9615,2.4224900000000003,0.086031,0.718596,0.145636,0.0,0.3327,0.0,0,9.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf0073,rf0073,0.02,0.247734,0.02,0.01,0.07,0.06,13.75,0.1,13.83,18.17,0.04,1.0011835,0.03,0.08,0.11,0.14,14.767174,0.08,0.1,14.66,3.26,16.26,14.97,15.94,0.396177,1.50945,0.02,14.07,15.78,0.58,0.25,7.84,0.11,0.03,2.51352,3.32092,1.40024,1.2518,8.87,-99.0,5462.25,-99.0,0.02,-18.59,2.31686,15.64,0.26,0.03,0.04,5450.2,0.03,0.07,0.02,14.0,17.28,1,1237663785277587559,0.110841,8.1626,444874804017784832,0.4179,0.24292,0.56924,0.04917,1,0,3.4186,8.5849,588015510349545567,0.648692,111405024294207488,0.456,444874804017784832,0.122,1237663785277587559,0.0,9.03,28.3207,0.31859831,8.70402,9.41637,0.31859831,8.79,-99.0,-99.0,notineco,-99.0,-1.0,L,4492320000.0,0.109794,0.0,2885900000.0,0.0,0.110226,10.6556,0.02,9.60468,1,0,3851820000.0,ALFALFA,157374000.0,126106000.0,91.8833,-0.0505938,2.0,0.111846,-19.2043,0.0,21.3577,11.1269,1,11.2639,1.0,0.0246665,2.0,9.8895,56.0,9.0695,0.0,42.4822,11.2426,1.96245,1.93806,8.87,1,0,1,1,10000,0,1000000,1.25078,1.14655,2.15418,1.99196,-18.8304,2.89536,0.152361,1.05575,0.243155,18.4827,0.2239,0.257,0,9.525,rf0073,0.0,-0.723904,0.0,-0.723904,156.2783,6.232985,185.8557,4.640969,340.0965,5.270614,12.05263,3.511668,751.3962,7.400530000000002,725.3369,7.490261,2228.413,16.133229999999998,98.46464,3.051743,55.40376,2.555791,107.7844,1.247678,2463.841,16.617820000000002,325.1025,3.763281,293.3903,4.116784,214.1118,3.55493,74.89939,2.756394,0.0,1.023755,2223.948,16.15706,0.0,0.0,1610.211,97.46954,1027.083,80.06939,235.4677,16.93357,275.5746,14.65576,483.9865,23.23679,0.5585724,0.0,6.570759,10.52832,0.0,0.0,1038.761,34.9201,1029.797,39.02085,2942.277,111.4882,128.6422,8.854133000000003,73.65720999999998,5.730651,151.284,4.57782,3367.615,86.61378,444.953,13.46418,400.2533,13.33751,292.8271,9.987772
rf0372,rf0372,0.01,0.583076,0.02,0.01,0.03,0.05,11.0,0.1,10.97,17.77,0.04,0.42092388,0.02,0.05,0.15,0.13,38.255238,0.07,0.06,11.9,6.58,14.44,12.31,13.8,0.887442,2.3017,-0.06,11.24,13.46,0.59,0.23,23.74,0.05,0.02,3.71692,4.6830300000000005,2.30266,1.99829,10.39,-99.0,6791.45,-99.0,0.02,-21.19,3.26781,13.21,0.24,0.03,0.03,6735.4,0.05,0.03,0.02,11.33,15.91,1,1237666408459141285,0.772954,20.7743,458394399613675520,0.5925,0.11165,0.33284,0.045443,1,0,9.12,46.5046,588015509822963821,0.595191,114782883062743040,0.4073,458394399613675520,0.6041,1237666408459141285,0.0,10.53,143.17600000000004,1.5316525,9.79933,9.13594,1.5316525,10.23,-99.0,-99.0,notineco,-99.0,2.5,E,976812000.0,0.0,0.0,0.0,0.0,0.0136892,0.0,0.0184,0.0,0,1,0.0,GBT,0.0,0.0,0.0,0.0,2.0,0.136287,-21.2286,0.0,99.3461,11.9139,1,11.9809,1.0,0.0229135,2.0,10.4655,253.0,10.4455,0.0,97.415,12.408,0.277272,0.209667,10.43,1,0,0,1,0,0,1000000,1.81123,1.74879,2.98924,2.6746,-21.6321,3.85262,0.371864,1.54988,0.5707720000000001,19.0741,0.2055,0.1038,0,10.405,rf0372,499.2862,17.09704,484.4966,17.14705,394.4093,11.62066,181.0645,7.547915,333.7519,8.21785,43.81757,8.819625,819.0651,11.05361,1165.567,14.653479999999998,3420.081,24.798820000000006,98.78342,8.284567,179.0851,9.904118,1155.121,7.4562050000000015,3599.817,24.78884,3484.113,22.48961,639.8837,12.91935,603.6071,12.73486,119.7862,10.22305,974.9119,65.10524000000001,3439.312,24.82742,0.0,0.0,3318.36,9904.862,760.9978,11091.43,1401.076,74.8869,446.9028,38.8573,970.7391,46.41768,72.8453,53.22145,509.2365,36.69029000000001,0.0,0.0,2319.946,56.15935,3154.577,49.69212,9013.077,141.9775,236.391,32.05953,358.5382,38.16888,2664.557,36.68554,8010.727,114.5531,7836.932,107.8987,1401.761,56.8227,1336.364,55.43243
