name,e_bv_sfd,spectofiber
ECO01275,0.01664938,0.8494002
ECO08876,0.02907111,0.6606347
ECO10446,0.03322868,0.687487
ECO11930,0.03944326,0.7519495
ECO00449,0.01125492,0.7284307
ECO12691,0.037553,0.7918434
ECO02199,0.04301307,0.7440755
ECO03550,0.02074378,0.7101839
ECO03653,0.02267415,0.7443653
ECO10185,0.02390946,0.7850809
ECO09931,0.01857941,0.7745862
ECO01469,0.05421991,0.7316257
ECO04315,0.0457838,0.7144476
ECO10729,0.03529981,0.8763788
ECO10740,0.03523839,0.7947101
ECO09465,0.01417629,0.7497836
ECO11158,0.02530011,0.7127378
ECO10738,0.03019824,0.7658493
ECO11752,0.02283642,0.7619216
ECO11946,0.04212087,0.7782946
ECO07017,0.03380738,0.7265348
ECO08719,0.05342648,0.7165986
ECO10310,0.01596665,0.7836024
ECO09726,0.01019297,0.7639096
ECO00462,0.0138906,0.7440875
ECO09540,0.01601316,0.7255938
ECO10962,0.007762489,0.7470002
ECO10535,0.01706123,0.7437906
ECO09896,0.01624095,0.7906749
ECO09160,0.01446879,0.7581803
ECO11687,0.01701138,0.7827826
ECO04284,0.01411881,0.7330322
ECO00375,0.01091996,0.7475213
ECO00372,0.01021939,0.7991734
ECO06623,0.01184858,0.7487629
ECO09403,0.01168042,0.7419227
ECO07455,0.02507979,0.7182817
ECO10810,0.01794275,0.7699575
ECO07462,0.02829673,0.7828503
ECO00286,0.03494088,0.8430883
ECO10224,0.04097846,0.7704648
ECO05286,0.05330329,0.6957058
ECO07362,0.03018202,0.7505187
ECO12880,0.02451015,0.7084413
ECO07381,0.03752046,0.7625623
ECO09685,0.01155265,0.7489984
ECO06529,0.01279976,0.7655175
ECO06597,0.02617194,0.8076115
ECO07573,0.03125376,0.755219
ECO12919,0.03744682,0.7587565
ECO10131,0.02601238,0.7577732
ECO05438,0.01697109,0.7450777
ECO06752,0.02094387,0.7442091
ECO03507,0.0162325,0.7199527
ECO05454,0.01030802,0.7361665
ECO04686,0.01749698,0.7743177
ECO00882,0.03246253,0.7908981
ECO08820,0.01123834,0.7876182
ECO01519,0.01025766,0.7907714
ECO12188,0.0117122,0.7588145
ECO03781,0.01080838,0.7312406
ECO04313,0.01908637,0.75067
ECO06515,0.02050182,0.7825871
ECO13049,0.01823311,0.7830766
ECO06882,0.03156373,0.7227154
ECO12543,0.03595625,0.8066998
ECO12548,0.01738508,0.7853572
ECO02395,0.03798322,0.7637101
ECO10151,0.07484093,0.7730139
ECO10143,0.04672676,0.7687277
ECO12114,0.0361529,0.7246332
ECO00266,0.01934569,0.807173
ECO13745,0.02742181,0.7646128
ECO01583,0.02883513,0.7951358
ECO08368,0.04653655,0.7589329
ECO08732,0.05238194,0.7460388
ECO07341,0.03776503,0.7498074
ECO07249,0.0354493,0.7811927
ECO07354,0.04029851,0.7533424
ECO07233,0.02289609,0.7649366
ECO03647,0.02547032,0.7572844
ECO07216,0.02033634,0.7182895
ECO10149,0.02545551,0.7814193
ECO07185,0.0410404,0.6882604
ECO03934,0.03816009,0.3148971
ECO05105,0.03891912,0.7357926
ECO03182,0.02267525,0.7208685
ECO10516,0.02874211,0.7575179
ECO06314,0.03716221,0.7539424
ECO11678,0.01991917,0.7384374
ECO02597,0.04425482,0.7116258
ECO07903,0.02371173,0.8049172
ECO02681,0.02127096,0.7637272
ECO01728,0.02465457,0.9236276
ECO00761,0.0322671,0.8066127
ECO02691,0.02573763,0.7693039
ECO00961,0.05470682,0.8581063
ECO12657,0.02169148,0.7892722
ECO07199,0.03894945,0.7383906
ECO09543,0.02574249,0.7765571
ECO09601,0.0143906,0.7511628
ECO08411,0.02311226,0.768007
ECO07636,0.02419567,0.7663936
ECO10286,0.01404292,0.7098083
ECO11910,0.03004196,0.8326771
ECO02193,0.03309488,0.7857678
ECO07679,0.02923327,0.8352163
ECO04180,0.02912491,0.8303369
ECO02563,0.03281193,0.7368463
ECO01289,0.03997399,0.8391426
ECO11850,0.04598048,0.7779782
ECO05605,0.05231478,0.8100424
ECO11559,0.04530055,0.7802184
ECO07601,0.02031764,0.7590082
ECO06422,0.02826081,0.752934
ECO04005,0.0358284,0.7584388
ECO02899,0.02737022,0.8346084
ECO10837,0.02912385,0.8419349
ECO06403,0.02207169,0.7172062
ECO02399,0.02368587,0.7518207
ECO03211,0.02414433,0.7967346
ECO10979,0.01968169,0.8083328
ECO05929,0.0210618,0.8837466
ECO10562,0.02449432,0.7100742
ECO08634,0.02614461,0.7542515
ECO06103,0.02597401,0.8045825
ECO08971,0.02718724,0.7336949
ECO03232,0.0180097,0.7388251
ECO10615,0.02313165,0.6925736
ECO05190,0.03000814,0.728048
ECO08367,0.02852364,0.7871115
ECO08912,0.01974791,0.7846445
ECO12753,0.01788798,0.8352697
ECO09183,0.02835088,0.8040076
ECO11501,0.01448737,0.7522353
ECO12232,0.01144359,0.7384601
ECO01895,0.01035048,0.7215629
