	#x	Wavelength	A_lambda/E(B-V)
1511	1.327492367	7533	1.731994424
1512	1.326963907	7536	1.730986093
1513	1.326435867	7539	1.729978563
1514	1.325908247	7542	1.728971836
1515	1.325381047	7545	1.727965908
1516	1.324854266	7548	1.726960781
1517	1.324327904	7551	1.725956452
1518	1.323801959	7554	1.724952921
1519	1.323276432	7557	1.723950186
1520	1.322751323	7560	1.722948248
1521	1.32222663	7563	1.721947104
1522	1.321702353	7566	1.720946754
1523	1.321178491	7569	1.719947198
1524	1.320655045	7572	1.718948433
1525	1.320132013	7575	1.717950459
1526	1.319609396	7578	1.716953276
1527	1.319087192	7581	1.715956882
1528	1.318565401	7584	1.714961276
1529	1.318044023	7587	1.713966457
1530	1.317523057	7590	1.712972425
1531	1.317002502	7593	1.711979178
1532	1.316482359	7596	1.710986716
1533	1.315962627	7599	1.709995037
1534	1.315443304	7602	1.709004142
1535	1.314924392	7605	1.708014028
1536	1.314405889	7608	1.707024694
1537	1.313887794	7611	1.706036141
1538	1.313370108	7614	1.705048367
1539	1.312852829	7617	1.704061371
1540	1.312335958	7620	1.703075152
1541	1.311819494	7623	1.702089709
1542	1.311303436	7626	1.701105041
1543	1.310787783	7629	1.700121148
1544	1.310272537	7632	1.699138029
1545	1.309757695	7635	1.698155682
1546	1.309243257	7638	1.697174106
1547	1.308729224	7641	1.696193302
1548	1.308215594	7644	1.695213267
1549	1.307702367	7647	1.694234002
1550	1.307189542	7650	1.693255504
1551	1.30667712	7653	1.692277773
1552	1.306165099	7656	1.691300809
1553	1.30565348	7659	1.69032461
1554	1.305142261	7662	1.689349176
1555	1.304631442	7665	1.688374505
1556	1.304121022	7668	1.687400597
1557	1.303611002	7671	1.68642745
1558	1.303101381	7674	1.685455065
1559	1.302592158	7677	1.684483439
1560	1.302083333	7680	1.683512572
1561	1.301574906	7683	1.682542464
1562	1.301066875	7686	1.681573113
1563	1.30055924	7689	1.680604518
1564	1.300052002	7692	1.679636679
1565	1.299545159	7695	1.678669595
1566	1.299038711	7698	1.677703264
1567	1.298532658	7701	1.676737686
1568	1.298026999	7704	1.67577286
1569	1.297521733	7707	1.674808786
1570	1.297016861	7710	1.673845461
1571	1.296512382	7713	1.672882886
1572	1.296008294	7716	1.67192106
1573	1.295504599	7719	1.670959981
1574	1.295001295	7722	1.669999649
1575	1.294498382	7725	1.669040062
1576	1.293995859	7728	1.668081221
1577	1.293493727	7731	1.667123124
1578	1.292991983	7734	1.66616577
1579	1.292490629	7737	1.665209159
1580	1.291989664	7740	1.664253289
1581	1.291489087	7743	1.66329816
1582	1.290988897	7746	1.662343771
1583	1.290489095	7749	1.66139012
1584	1.28998968	7752	1.660437208
1585	1.289490651	7755	1.659485033
1586	1.288992008	7758	1.658533595
1587	1.288493751	7761	1.657582892
1588	1.287995878	7764	1.656632923
1589	1.287498391	7767	1.655683689
1590	1.287001287	7770	1.654735188
