# YES:  Extinction Coefficients -- Results
#
# Quantities which were not computable
# are assigned a value of -99
#
#
# Reddening Law  = odonnell_94
# The law has been formulated to give R_V = 3.07 for Vega.
#
#
#Wavelength(A)   A_lambda/tau1  A_lambda/E(B-V)
#
 3576.000        4.51718        4.63385
 3579.000        4.51282        4.62938
 3582.000        4.50849        4.62494
 3585.000        4.50417        4.62051
 3588.000        4.49988        4.61610
 3591.000        4.49560        4.61171
 3594.000        4.49134        4.60735
 3597.000        4.48711        4.60300
 3600.000        4.48289        4.59867
 3603.000        4.47869        4.59437
 3606.000        4.47451        4.59008
 3609.000        4.47035        4.58581
 3612.000        4.46621        4.58157
 3615.000        4.46209        4.57734
 3618.000        4.45799        4.57314
 3621.000        4.45391        4.56895
 3624.000        4.44986        4.56479
 3627.000        4.44582        4.56064
 3630.000        4.44180        4.55652
 3633.000        4.43780        4.55242
 3636.000        4.43382        4.54834
 3639.000        4.42986        4.54428
 3642.000        4.42592        4.54024
 3645.000        4.42200        4.53622
 3648.000        4.41811        4.53222
 3651.000        4.41423        4.52824
 3654.000        4.41037        4.52428
 3657.000        4.40653        4.52034
 3660.000        4.40271        4.51643
 3663.000        4.39891        4.51253
 3666.000        4.39514        4.50865
 3669.000        4.39138        4.50480
 3672.000        4.38764        4.50096
 3675.000        4.38392        4.49715
 3678.000        4.38022        4.49335
 3681.000        4.37654        4.48958
 3684.000        4.37288        4.48583
 3687.000        4.36924        4.48209
 3690.000        4.36562        4.47838
 3693.000        4.36202        4.47468
 3696.000        4.35844        4.47101
 3699.000        4.35487        4.46735
 3702.000        4.35133        4.46372
 3705.000        4.34780        4.46010
 3708.000        4.34430        4.45651
 3711.000        4.34081        4.45293
 3714.000        4.33734        4.44937
 3717.000        4.33389        4.44583
 3720.000        4.33046        4.44231
 3723.000        4.32705        4.43881
 3726.000        4.32366        4.43533
 3729.000        4.32028        4.43187
 3732.000        4.31692        4.42842
 3735.000        4.31359        4.42500
 3738.000        4.31026        4.42159
 3741.000        4.30696        4.41820
 3744.000        4.30367        4.41483
 3747.000        4.30041        4.41148
 3750.000        4.29715        4.40814
 3753.000        4.29392        4.40483
 3756.000        4.29070        4.40153
 3759.000        4.28750        4.39824
 3762.000        4.28432        4.39498
 3765.000        4.28116        4.39173
 3768.000        4.27801        4.38850
 3771.000        4.27487        4.38529
 3774.000        4.27176        4.38209
 3777.000        4.26866        4.37891
 3780.000        4.26557        4.37575
 3783.000        4.26250        4.37260
 3786.000        4.25945        4.36947
 3789.000        4.25641        4.36635
 3792.000        4.25339        4.36325
 3795.000        4.25039        4.36017
 3798.000        4.24740        4.35710
 3801.000        4.24442        4.35405
 3804.000        4.24146        4.35101
 3807.000        4.23851        4.34799
 3810.000        4.23558        4.34498
 3813.000        4.23266        4.34199
 3816.000        4.22976        4.33901
 3819.000        4.22687        4.33604
 3822.000        4.22400        4.33309
 3825.000        4.22113        4.33016
 3828.000        4.21829        4.32724
 3831.000        4.21545        4.32433
 3834.000        4.21263        4.32144
 3837.000        4.20982        4.31856
 3840.000        4.20703        4.31569
 3843.000        4.20425        4.31283
 3846.000        4.20148        4.30999
 3849.000        4.19872        4.30716
 3852.000        4.19597        4.30435
 3855.000        4.19324        4.30155
 3858.000        4.19052        4.29875
 3861.000        4.18781        4.29598
 3864.000        4.18511        4.29321
 3867.000        4.18243        4.29045
 3870.000        4.17975        4.28771
 3873.000        4.17709        4.28498
 3876.000        4.17444        4.28226
 3879.000        4.17180        4.27955
 3882.000        4.16916        4.27685
 3885.000        4.16654        4.27416
 3888.000        4.16393        4.27148
 3891.000        4.16133        4.26881
 3894.000        4.15874        4.26616
 3897.000        4.15616        4.26351
 3900.000        4.15359        4.26087
 3903.000        4.15103        4.25825
 3906.000        4.14848        4.25563
 3909.000        4.14594        4.25302
 3912.000        4.14340        4.25042
 3915.000        4.14088        4.24783
 3918.000        4.13836        4.24525
 3921.000        4.13586        4.24268
 3924.000        4.13336        4.24011
