ID	SDSS	zspec	gmag	g_r	Ag
107	J124356.50+120247.1	0.1126	18.07	0.56	0.09
108	J124429.16+071917.2	0.1088	18.06	0.58	0.09
109	J125105.91+170255.0	0.0816	17.98	0.69	0.1
110	J125658.76+215345.9	0.1867	18.66	0.8	0.14
111	J125741.29+354711.3	0.1461	18.18	0.68	0.05
112	J130033.23+232018.2	0.2726	19.69	0.62	0.09
113	J130141.56+100100.1	0.0272	15.85	0.49	0.1
114	J130342.83+324824.5	0.0367	17.82	0.6	0.04
115	J130427.11+141226.1	0.0829	17.46	0.59	0.11
116	J130449.95+203843.9	0.0644	17.39	0.71	0.1
117	J130456.96+395529.7	0.0274	15.2	0.66	0.09
118	J130544.58+361208.0	0.1461	19.61	0.64	0.05
119	J131347.14+513530.8	0.1003	18.88	0.62	0.06
120	J131715.66+092602.2	0.052	17	0.51	0.1
121	J131718.58+324035.6	0.0612	17.95	0.58	0.03
122	J131918.20+310720.7	0.1135	17.79	0.7	0.04
123	J131957.07+523533.8	0.0919	17.77	0.35	0.06
124	J132041.00+283820.7	0.1357	17.59	0.39	0.06
125	J132118.98+300423.8	0.0916	18.7	0.29	0.04
126	J132438.73+291012.1	0.0727	17.81	0.58	0.06
127	J132443.09+103529.8	0.0909	17.96	0.5	0.1
128	J132507.32+082026.4	0.0533	16.77	0.81	0.08
129	J132516.69+241937.9	0.1451	19.2	0.59	0.05
130	J132908.83+295024.2	0.0478	17.07	0.59	0.05
131	J133014.92+242153.9	0.0715	18.26	0.79	0.05
132	J133750.51+383643.6	0.2118	18.09	0.49	0.03
133	J133938.23+585843.2	0.2003	19.18	0.5	0.05
134	J133954.09+084542.3	0.1555	19.29	0.56	0.08
135	J134235.66+261534.0	0.0639	17.11	0.72	0.05
136	J134245.70+243524.1	0.0267	15.89	0.72	0.05
137	J134806.39+175936.1	0.0668	18.52	0.83	0.07
138	J135056.80+074234.4	0.0794	17	0.61	0.11
139	J135357.53+332745.1	0.0767	16.75	0.58	0.08
140	J135500.36+055501.2	0.0831	18.18	0.74	0.1
141	J140026.11+131807.5	0.0795	18.73	0.64	0.1
142	J140158.80+232254.6	0.1751	19.02	0.79	0.11
143	J140231.07+254108.5	0.0579	17.97	0.85	0.06
144	J140314.64+494006.7	0.1605	19.18	0.64	0.05
145	J140659.58+231738.7	0.0603	18.12	0.74	0.08
146	J141056.55+171745.7	0.18	18.11	0.66	0.08
147	J141305.99+110918.5	0.1084	18.64	0.56	0.08
148	J141405.02+263336.8	0.0357	17.47	0.62	0.07
149	J141507.93+193653.9	0.11	18.85	1.01	0.16
150	J141516.84+130604.5	0.1386	19.09	0.56	0.09
151	J142235.60+074954.5	0.0565	17.23	0.71	0.11
152	J142940.72+200739.6	0.1023	18.81	0.92	0.16
153	J143047.17+141649.8	0.0942	18.04	0.56	0.1
154	J143141.73+195448.0	0.0592	17.35	0.56	0.13
155	J143143.58+330133.8	0.1413	18.36	0.33	0.03
156	J143222.98+062059.9	0.0872	17.66	0.49	0.11
157	J143411.54+165056.4	0.0936	18.44	0.63	0.09
158	J143432.90+323946.8	0.12	17.25	0.56	0.05
159	J143630.49+324539.3	0.195	18.62	0.51	0.05
160	J143658.69+164513.7	0.0718	18.1	0.73	0.09
161	J143902.84+184743.4	0.1021	17.16	0.59	0.19
162	J144516.71+155016.5	0.0334	15.85	0.61	0.09
163	J144850.09+160803.2	0.0382	17.91	0.72	0.09
164	J145116.58+302825.9	0.1626	18.38	0.58	0.08
165	J145248.85+121309.2	0.1925	18.66	0.54	0.12
166	J145426.95+181942.6	0.059	17.44	0.62	0.1
167	J145505.97+211121.1	0.0677	17.53	0.84	0.15
168	J145518.41+163253.7	0.0441	15.46	0.48	0.11
169	J145532.52+201150.2	0.0568	18.05	0.58	0.11
170	J145725.26+323300.7	0.0702	17.48	0.7	0.07
171	J145841.79+274316.1	0.082	17.31	0.71	0.11
172	J150435.58+242215.4	0.0629	18.07	0.72	0.17
173	J150502.41+130201.6	0.2045	19.32	0.19	0.15
174	J150937.88+260352.8	0.1172	18.69	1.01	0.21
175	J151147.27+222559.7	0.1764	18.59	0.77	0.14
176	J151150.23+263257.3	0.0776	17.26	0.69	0.21
177	J151634.45+205837.9	0.0399	17.39	0.72	0.19
178	J152251.91+234107.5	0.1266	18.91	0.66	0.19
179	J152628.69+281726.9	0.117	19.58	0.37	0.11
180	J152637.37+065941.7	0.0383	18.04	0.52	0.18
181	J152740.72+550711.0	0.2055	19.92	0.7	0.04
182	J153552.51+143103.8	0.0195	14.72	0.57	0.21
