agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,False,ECO00451,True,True,False
False,False,False,False,False,False,True,ECO00453,False,False,False
False,False,False,False,False,False,True,ECO00456,False,False,False
False,False,False,False,False,False,True,ECO00457,False,False,False
False,False,False,False,False,False,True,ECO00468,False,False,False
False,False,False,False,False,False,True,ECO00469,False,False,False
False,False,False,False,False,False,True,ECO00470,False,False,False
False,False,False,False,False,False,True,ECO00473,False,False,False
False,False,False,False,False,False,False,ECO00482,True,False,True
False,False,False,False,False,False,True,ECO00484,False,False,False
False,False,False,False,False,False,True,ECO00486,False,False,False
False,False,False,False,False,False,True,ECO00487,False,False,False
False,False,False,False,False,False,False,ECO00488,True,True,True
False,False,False,False,False,False,True,ECO00489,False,False,False
False,False,False,False,False,False,True,ECO00497,False,False,False
False,False,False,False,False,False,True,ECO00499,False,False,False
False,False,False,False,False,False,True,ECO00500,False,False,False
False,False,False,False,False,False,True,ECO00501,False,False,False
False,False,False,False,False,False,True,ECO00516,False,False,False
False,False,False,False,False,False,True,ECO00519,False,False,False
False,False,False,False,False,False,True,ECO00523,False,False,False
False,False,False,False,False,False,True,ECO00524,False,False,False
False,False,False,False,False,False,True,ECO00526,False,False,False
False,False,False,False,False,False,True,ECO00534,False,False,False
False,False,False,False,False,False,False,ECO00543,True,False,True
False,False,False,False,False,False,True,ECO00545,False,False,False
False,False,False,False,False,False,True,ECO00549,False,False,False
False,False,False,False,False,False,True,ECO00558,False,False,False
False,False,False,False,False,False,True,ECO00565,False,False,False
False,False,False,False,False,False,True,ECO00573,False,False,False
False,False,False,False,False,False,True,ECO00585,False,False,False
False,False,False,False,False,False,True,ECO00589,False,False,False
False,False,False,False,False,False,True,ECO00591,False,False,False
False,False,False,False,False,False,True,ECO00597,False,False,False
False,False,False,False,False,False,True,ECO00612,False,False,False
False,False,False,False,False,False,True,ECO00614,False,False,False
False,False,False,False,False,False,True,ECO00615,False,False,False
False,False,False,False,False,False,True,ECO00617,False,False,False
False,False,False,False,False,False,True,ECO00623,False,False,False
False,False,False,False,False,False,True,ECO00629,False,False,False
False,False,False,False,False,False,True,ECO00630,False,False,False
False,False,False,False,False,False,True,ECO00638,False,False,False
False,False,False,False,False,False,True,ECO00639,False,False,False
False,False,False,False,False,False,True,ECO00642,False,False,False
False,False,False,False,False,False,True,ECO00651,False,False,False
False,False,False,False,False,False,True,ECO00655,False,False,False
False,False,False,False,False,False,True,ECO00661,False,False,False
False,False,False,False,False,False,True,ECO00662,False,False,False
False,False,False,False,False,False,True,ECO00668,False,False,False
False,False,False,False,False,False,True,ECO00669,False,False,False
False,False,False,False,False,False,True,ECO00670,False,False,False
False,False,False,False,False,False,True,ECO00677,False,False,False
False,False,False,False,False,False,True,ECO00678,False,False,False
False,False,False,False,False,False,True,ECO00679,False,False,False
False,False,False,False,False,False,True,ECO00682,False,False,False
False,False,False,False,False,False,True,ECO00683,False,False,False
False,False,False,False,False,False,True,ECO00688,False,False,False
False,False,False,False,False,False,True,ECO00691,False,False,False
False,False,False,False,False,False,True,ECO00692,False,False,False
False,False,False,False,False,False,True,ECO00694,False,False,False
False,False,False,False,False,False,False,ECO00696,True,False,True
False,False,False,False,False,False,True,ECO00698,False,False,False
False,False,False,False,False,False,True,ECO00699,False,False,False
False,False,False,False,False,False,True,ECO00700,False,False,False
False,False,False,False,False,False,True,ECO00705,False,False,False
False,False,False,False,False,False,True,ECO00716,False,False,False
False,False,False,False,False,False,True,ECO00718,False,False,False
False,False,False,False,False,False,True,ECO00721,False,False,False
False,False,False,False,False,False,True,ECO00723,False,False,False
False,False,False,False,False,False,True,ECO00729,False,False,False
False,False,False,False,False,False,True,ECO00734,False,False,False
False,False,False,False,False,False,True,ECO00736,False,False,False
False,False,False,False,False,False,True,ECO00741,False,False,False
False,False,False,False,False,False,True,ECO00747,False,False,False
False,False,False,False,False,False,False,ECO00758,True,False,True
False,False,False,False,False,False,True,ECO00759,False,False,False
False,False,False,False,False,False,False,ECO00776,True,True,True
False,False,False,False,False,False,True,ECO00794,False,False,False
