name,radeg,dedeg,h,m,s
ECO09399,206.019,37.2173,13.0,44.0,4.560000000014099
ECO09081,200.49099999999999,32.0998,13.0,21.0,57.84000000000674
ECO01563,202.77599999999998,32.315,13.0,31.0,6.2400000000054945
ECO11714,222.642,24.8216,14.0,50.0,34.08000000000797
ECO11935,160.62,8.3795,10.0,42.0,28.80000000000706
ECO00330,228.18200000000002,23.3503,15.0,12.0,43.68000000001501
ECO12206,230.739,23.0302,15.0,22.0,57.360000000012974
ECO08686,171.106,27.0029,11.0,24.0,25.44000000000807
ECO00957,190.27700000000002,26.8224,12.0,41.0,6.48000000001133
ECO08635,198.226,26.5349,13.0,12.0,54.240000000007456
ECO08592,197.40599999999998,26.159000000000002,13.0,9.0,37.44000000000355
ECO12203,204.74400000000003,26.4964,13.0,38.0,58.560000000017425
ECO08264,145.24200000000005,21.1301,9.0,40.0,58.08000000002025
ECO00060,143.793,25.124000000000002,9.0,35.0,10.320000000005791
ECO00500,147.012,26.6597,9.0,48.0,2.8800000000086357
ECO10988,148.33,24.7738,9.0,53.0,19.20000000000897
ECO08685,149.043,26.9822,9.0,56.0,10.320000000010907
ECO08676,156.099,26.945999999999998,10.0,24.0,23.76000000000346
ECO11008,160.22299999999996,27.0651,10.0,40.0,53.51999999999677
ECO08617,162.09799999999996,26.4128,10.0,48.0,23.51999999999677
ECO00320,154.498,21.5909,10.0,17.0,59.52000000000581
ECO11282,157.334,21.9436,10.0,29.0,20.160000000007585
ECO00324,156.797,22.3732,10.0,27.0,11.28000000000739
ECO00328,156.80700000000004,23.0312,10.0,27.0,13.680000000016719
ECO07331,151.346,19.2719,10.0,5.0,23.04000000000599
ECO07987,130.89600000000002,13.062999999999999,8.0,43.0,35.040000000012554
ECO10973,134.316,16.6501,8.0,57.0,15.84000000000529
ECO12300,164.235,23.7789,10.0,56.0,56.40000000001223
ECO01674,165.199,21.5909,11.0,0.0,47.760000000012326
ECO12508,166.356,22.6211,11.0,5.0,25.440000000008922
ECO02386,171.701,22.5577,11.0,26.0,48.24000000000353
ECO02876,172.231,20.6246,11.0,28.0,55.44000000000551
ECO01709,172.983,23.9904,11.0,31.0,55.920000000011214
ECO02457,172.642,24.2195,11.0,30.0,34.08000000000584
ECO02440,172.02900000000002,24.1758,11.0,28.0,6.960000000014048
ECO02293,172.623,22.3956,11.0,30.0,29.52000000000794
ECO01718,174.747,20.5603,11.0,38.0,59.28000000000935
ECO02848,175.576,20.4524,11.0,42.0,18.240000000008223
ECO02695,176.71,17.814,11.0,46.0,50.400000000007026
ECO02801,176.855,19.392,11.0,47.0,25.200000000004792
ECO05757,177.9,16.6642,11.0,51.0,36.00000000001074
ECO00226,144.32299999999995,14.2492,9.0,37.0,17.51999999999498
ECO02152,150.27100000000004,14.9476,10.0,1.0,5.040000000016818
ECO02763,159.27700000000004,16.5033,10.0,37.0,6.480000000018578
ECO02683,181.071,17.2435,12.0,4.0,17.04000000000846
ECO02672,180.49900000000002,16.7083,12.0,1.0,59.760000000017186
ECO01811,182.03099999999998,18.0088,12.0,8.0,7.4400000000022715
ECO06727,189.85,18.3655,12.0,39.0,24.00000000000503
ECO02169,184.648,20.6961,12.0,18.0,35.52000000000504
ECO02160,196.791,18.6524,13.0,7.0,9.840000000008615
ECO01997,204.562,18.4111,13.0,38.0,14.880000000012643
ECO12524,180.855,22.2027,12.0,3.0,25.200000000007776
ECO00721,183.608,23.7634,12.0,14.0,25.92000000000695
ECO01867,187.653,22.7602,12.0,30.0,36.72000000000395
ECO01870,188.829,23.0258,12.0,35.0,18.960000000011235
ECO01852,184.37099999999998,24.486,12.0,17.0,29.04000000000437
ECO01913,194.645,24.3935,12.0,58.0,34.80000000001098
ECO02639,206.334,16.3533,13.0,45.0,20.16000000001057
ECO02638,208.828,16.0775,13.0,55.0,18.720000000011794
ECO12648,212.21,16.5484,14.0,8.0,50.40000000000873
ECO12623,220.11,14.4597,14.0,40.0,26.400000000010948
ECO02658,226.75599999999997,12.572000000000001,15.0,7.0,1.4400000000047442
ECO12639,233.13,12.0611,15.0,32.0,31.200000000012125
ECO12629,233.87099999999998,12.517000000000001,15.0,35.0,29.040000000006927
ECO02624,208.14,18.9748,13.0,52.0,33.6000000000044
ECO00683,214.498,16.7358,14.0,17.0,59.52000000000581
ECO02595,220.16099999999997,15.8102,14.0,40.0,38.640000000001606
ECO12518,221.851,17.6728,14.0,47.0,24.240000000011293
ECO00668,225.12099999999998,16.5936,15.0,0.0,29.040000000004795
ECO12507,223.89700000000002,18.2845,14.0,55.0,35.280000000017964
ECO02198,216.016,22.5879,14.0,24.0,3.840000000007251
ECO06804,161.344,1.1241,10.0,45.0,22.560000000007108
ECO00257,176.058,19.3365,11.0,44.0,13.920000000005075
ECO11834,180.958,29.7148,12.0,3.0,49.92000000000985
ECO04981,233.613,12.27,15.0,34.0,27.12000000001055
ECO10258,162.951,43.7636,10.0,51.0,48.2400000000078
ECO03174,178.743,6.3292,11.0,54.0,58.32000000000605
ECO04430,210.18200000000002,31.8939,14.0,0.0,43.68000000001118
ECO11883,217.291,31.7987,14.0,29.0,9.84000000001032
ECO01281,159.798,-0.5572,10.0,39.0,11.520000000006405
