Wavelength,A_lambda/tau1,Al_Ebv
6180,2.39678,2.45868
6183,2.39545,2.45732
6186,2.39413,2.45596
6189,2.39281,2.45461
6192,2.39149,2.45325
6195,2.39017,2.4519
6198,2.38885,2.45055
6201,2.38754,2.44921
6204,2.38623,2.44786
6207,2.38492,2.44652
6210,2.38362,2.44518
6213,2.38231,2.44384
6216,2.38101,2.44251
6219,2.37971,2.44118
6222,2.37841,2.43984
6225,2.37712,2.43852
6228,2.37583,2.43719
6231,2.37453,2.43586
6234,2.37324,2.43454
6237,2.37196,2.43322
6240,2.37067,2.4319
6243,2.36939,2.43059
6246,2.36811,2.42927
6249,2.36683,2.42796
6252,2.36555,2.42665
6255,2.36427,2.42534
6258,2.363,2.42403
6261,2.36173,2.42273
6264,2.36046,2.42143
6267,2.35919,2.42013
6270,2.35793,2.41883
6273,2.35666,2.41753
6276,2.3554,2.41623
6279,2.35414,2.41494
6282,2.35288,2.41365
6285,2.35162,2.41236
6288,2.35037,2.41107
6291,2.34911,2.40979
6294,2.34786,2.4085
6297,2.34661,2.40722
6300,2.34536,2.40594
6303,2.34412,2.40466
6306,2.34287,2.40339
6309,2.34163,2.40211
6312,2.34039,2.40084
6315,2.33915,2.39956
6318,2.33791,2.39829
6321,2.33667,2.39703
6324,2.33544,2.39576
6327,2.33421,2.39449
6330,2.33297,2.39323
6333,2.33174,2.39197
6336,2.33051,2.39071
6339,2.32929,2.38945
6342,2.32806,2.38819
6345,2.32684,2.38694
6348,2.32562,2.38568
6351,2.32439,2.38443
6354,2.32318,2.38318
6357,2.32196,2.38193
6360,2.32074,2.38068
6363,2.31953,2.37943
6366,2.31831,2.37819
6369,2.3171,2.37695
6372,2.31589,2.3757
6375,2.31468,2.37446
6378,2.31347,2.37322
6381,2.31226,2.37199
6384,2.31106,2.37075
6387,2.30985,2.36951
6390,2.30865,2.36828
6393,2.30745,2.36705
6396,2.30625,2.36581
6399,2.30505,2.36458
6402,2.30385,2.36336
6405,2.30265,2.36213
6408,2.30146,2.3609
6411,2.30027,2.35968
6414,2.29907,2.35845
6417,2.29788,2.35723
6420,2.29669,2.35601
6423,2.2955,2.35479
6426,2.29431,2.35357
6429,2.29313,2.35235
6432,2.29194,2.35114
6435,2.29076,2.34992
6438,2.28957,2.34871
6441,2.28839,2.34749
6444,2.28721,2.34628
6447,2.28603,2.34507
6450,2.28485,2.34386
6453,2.28367,2.34265
6456,2.28249,2.34144
6459,2.28132,2.34024
6462,2.28014,2.33903
6465,2.27897,2.33783
6468,2.27779,2.33662
6471,2.27662,2.33542
6474,2.27545,2.33422
6477,2.27428,2.33302
6480,2.27311,2.33182
6483,2.27194,2.33062
6486,2.27077,2.32942
6489,2.26961,2.32823
6492,2.26844,2.32703
6495,2.26727,2.32583
6498,2.26611,2.32464
6501,2.26495,2.32345
6504,2.26378,2.32225
6507,2.26262,2.32106
6510,2.26146,2.31987
6513,2.2603,2.31868
6516,2.25914,2.31749
6519,2.25798,2.3163
6522,2.25683,2.31512
6525,2.25567,2.31393
6528,2.25451,2.31274
6531,2.25336,2.31156
6534,2.2522,2.31037
6537,2.25105,2.30919
6540,2.24989,2.308
6543,2.24874,2.30682
6546,2.24759,2.30564
6549,2.24644,2.30446
6552,2.24529,2.30328
6555,2.24414,2.3021
6558,2.24299,2.30092
6561,2.24184,2.29974
6564,2.24069,2.29856
6567,2.23954,2.29738
6570,2.23839,2.29621
6573,2.23725,2.29503
6576,2.2361,2.29386
6579,2.23496,2.29268
6582,2.23381,2.29151
6585,2.23267,2.29033
6588,2.23152,2.28916
6591,2.23038,2.28799
6594,2.22924,2.28681
6597,2.22809,2.28564
6600,2.22695,2.28447
6603,2.22581,2.2833
6606,2.22467,2.28213
6609,2.22353,2.28096
6612,2.22239,2.27979
6615,2.22125,2.27862
6618,2.22011,2.27745
6621,2.21897,2.27628
6624,2.21783,2.27511
6627,2.21669,2.27395
6630,2.21555,2.27278
6633,2.21442,2.27161
6636,2.21328,2.27044
6639,2.21214,2.26928
6642,2.21101,2.26811
6645,2.20987,2.26695
6648,2.20873,2.26578
6651,2.2076,2.26462
6654,2.20646,2.26345
6657,2.20533,2.26229
6660,2.20419,2.26112
6663,2.20306,2.25996
6666,2.20192,2.2588
6669,2.20079,2.25763
6672,2.19966,2.25647
6675,2.19852,2.25531
6678,2.19739,2.25414
6681,2.19626,2.25298
6684,2.19512,2.25182
6687,2.19399,2.25066
6690,2.19286,2.24949
6693,2.19172,2.24833
6696,2.19059,2.24717
6699,2.18946,2.24601
6702,2.18833,2.24485
6705,2.1872,2.24369
6708,2.18606,2.24253
6711,2.18493,2.24137
6714,2.1838,2.2402
6717,2.18267,2.23904
6720,2.18154,2.23788
6723,2.18041,2.23672
6726,2.17927,2.23556
6729,2.17814,2.2344
6732,2.17701,2.23324
6735,2.17588,2.23208
6738,2.17475,2.23092
6741,2.17362,2.22976
6744,2.17249,2.2286
6747,2.17136,2.22744
6750,2.17022,2.22628
6753,2.16909,2.22512
6756,2.16796,2.22396
6759,2.16683,2.2228
6762,2.1657,2.22164
6765,2.16457,2.22048
6768,2.16344,2.21931
6771,2.1623,2.21815
6774,2.16117,2.21699
6777,2.16004,2.21583
6780,2.15891,2.21467
6783,2.15778,2.21351
6786,2.15665,2.21235
6789,2.15551,2.21119
6792,2.15438,2.21003
6795,2.15325,2.20886
6798,2.15212,2.2077
6801,2.15098,2.20654
6804,2.14985,2.20538
6807,2.14872,2.20422
6810,2.14759,2.20305
6813,2.14645,2.20189
6816,2.14532,2.20073
6819,2.14419,2.19957
6822,2.14305,2.1984
6825,2.14192,2.19724
6828,2.14078,2.19608
6831,2.13965,2.19491
6834,2.13851,2.19375
6837,2.13738,2.19258
6840,2.13624,2.19142
6843,2.13511,2.19026
6846,2.13397,2.18909
6849,2.13284,2.18793
6852,2.1317,2.18676
6855,2.13057,2.18559
6858,2.12943,2.18443
6861,2.12829,2.18326
6864,2.12715,2.1821
6867,2.12602,2.18093
6870,2.12488,2.17976
6873,2.12374,2.17859
6876,2.1226,2.17743
6879,2.12146,2.17626
6882,2.12032,2.17509
6885,2.11918,2.17392
6888,2.11805,2.17275
6891,2.1169,2.17158
6894,2.11576,2.17041
6897,2.11462,2.16924
6900,2.11348,2.16807
6903,2.11234,2.1669
6906,2.1112,2.16573
6909,2.11006,2.16456
6912,2.10891,2.16338
6915,2.10777,2.16221
6918,2.10663,2.16104
6921,2.10548,2.15986
6924,2.10434,2.15869
6927,2.10319,2.15752
6930,2.10205,2.15634
6933,2.1009,2.15517
6936,2.09976,2.15399
6939,2.09861,2.15281
6942,2.09746,2.15164
6945,2.09632,2.15046
6948,2.09517,2.14928
6951,2.09402,2.1481
6954,2.09287,2.14693
6957,2.09172,2.14575
6960,2.09057,2.14457
6963,2.08942,2.14339
6966,2.08827,2.14221
6969,2.08712,2.14103
6972,2.08597,2.13984
6975,2.08482,2.13866
6978,2.08366,2.13748
6981,2.08251,2.1363
6984,2.08136,2.13511
6987,2.0802,2.13393
6990,2.07905,2.13275
6993,2.07789,2.13156
6996,2.07674,2.13037
6999,2.07558,2.12919
7002,2.07442,2.128
7005,2.07327,2.12681
7008,2.07211,2.12563
7011,2.07095,2.12444
7014,2.06979,2.12325
7017,2.06863,2.12206
7020,2.06747,2.12087
7023,2.06631,2.11968
7026,2.06515,2.11849
7029,2.06399,2.11729
7032,2.06282,2.1161
7035,2.06166,2.11491
7038,2.0605,2.11372
7041,2.05933,2.11252
7044,2.05817,2.11133
7047,2.057,2.11013
7050,2.05584,2.10893
7053,2.05467,2.10774
7056,2.0535,2.10654
7059,2.05233,2.10534
7062,2.05116,2.10414
7065,2.05,2.10294
7068,2.04883,2.10174
7071,2.04766,2.10054
7074,2.04648,2.09934
7077,2.04531,2.09814
7080,2.04414,2.09694
7083,2.04297,2.09573
7086,2.04179,2.09453
7089,2.04062,2.09333
7092,2.03944,2.09212
7095,2.03827,2.09091
7098,2.03709,2.08971
7101,2.03592,2.0885
7104,2.03474,2.08729
7107,2.03356,2.08608
7110,2.03238,2.08487
7113,2.0312,2.08366
7116,2.03002,2.08245
7119,2.02884,2.08124
7122,2.02766,2.08003
7125,2.02648,2.07882
7128,2.02529,2.0776
7131,2.02411,2.07639
7134,2.02293,2.07518
7137,2.02174,2.07396
7140,2.02056,2.07274
7143,2.01937,2.07153
7146,2.01818,2.07031
7149,2.017,2.06909
7152,2.01581,2.06787
7155,2.01462,2.06665
7158,2.01343,2.06543
7161,2.01224,2.06421
7164,2.01105,2.06299
7167,2.00985,2.06177
7170,2.00866,2.06054
7173,2.00747,2.05932
7176,2.00627,2.05809
7179,2.00508,2.05687
7182,2.00388,2.05564
7185,2.00269,2.05441
7188,2.00149,2.05319
7191,2.00029,2.05196
7194,1.9991,2.05073
7197,1.9979,2.0495
7200,1.9967,2.04827
7203,1.9955,2.04704
7206,1.9943,2.0458
7209,1.99309,2.04457
7212,1.99189,2.04334
7215,1.99069,2.0421
7218,1.98948,2.04087
7221,1.98828,2.03963
7224,1.98707,2.0384
7227,1.98587,2.03716
7230,1.98466,2.03592
7233,1.98345,2.03468
7236,1.98224,2.03344
7239,1.98103,2.0322
7242,1.97982,2.03096
7245,1.97861,2.02972
7248,1.9774,2.02848
7251,1.97619,2.02723
7254,1.97498,2.02599
7257,1.97376,2.02474
7260,1.97255,2.0235
7263,1.97133,2.02225
7266,1.97012,2.021
7269,1.9689,2.01976
7272,1.96769,2.01851
7275,1.96647,2.01726
7278,1.96525,2.01601
7281,1.96403,2.01476
7284,1.96281,2.0135
7287,1.96159,2.01225
7290,1.96037,2.011
7293,1.95914,2.00975
7296,1.95792,2.00849
7299,1.9567,2.00723
7302,1.95547,2.00598
7305,1.95425,2.00472
7308,1.95302,2.00346
7311,1.95179,2.00221
7314,1.95057,2.00095
7317,1.94934,1.99969
7320,1.94811,1.99843
7323,1.94688,1.99716
7326,1.94565,1.9959
7329,1.94442,1.99464
7332,1.94319,1.99337
7335,1.94195,1.99211
7338,1.94072,1.99084
7341,1.93949,1.98958
7344,1.93825,1.98831
7347,1.93701,1.98704
7350,1.93578,1.98578
7353,1.93454,1.98451
7356,1.9333,1.98324
7359,1.93206,1.98197
7362,1.93083,1.9807
7365,1.92959,1.97942
7368,1.92835,1.97815
7371,1.9271,1.97688
7374,1.92586,1.9756
7377,1.92462,1.97433
7380,1.92338,1.97305
7383,1.92213,1.97178
7386,1.92089,1.9705
7389,1.91964,1.96922
7392,1.91839,1.96794
7395,1.91715,1.96666
7398,1.9159,1.96538
7401,1.91465,1.9641
7404,1.9134,1.96282
7407,1.91215,1.96154
7410,1.9109,1.96026
7413,1.90965,1.95897
7416,1.9084,1.95769
7419,1.90714,1.9564
7422,1.90589,1.95512
7425,1.90464,1.95383
7428,1.90338,1.95254
7431,1.90213,1.95126
7434,1.90087,1.94997
7437,1.89961,1.94868
7440,1.89836,1.94739
7443,1.8971,1.9461
7446,1.89584,1.94481
7449,1.89458,1.94351
7452,1.89332,1.94222
7455,1.89206,1.94093
7458,1.8908,1.93963
7461,1.88954,1.93834
7464,1.88827,1.93704
7467,1.88701,1.93575
7470,1.88574,1.93445
7473,1.88448,1.93315
7476,1.88321,1.93185
7479,1.88195,1.93056
7482,1.88068,1.92926
7485,1.87941,1.92796
7488,1.87815,1.92666
7491,1.87688,1.92535
7494,1.87561,1.92405
7497,1.87434,1.92275
7500,1.87307,1.92145
7503,1.8718,1.92014
7506,1.87052,1.91884
7509,1.86925,1.91753
7512,1.86798,1.91623
7515,1.86671,1.91492
7518,1.86543,1.91361
7521,1.86416,1.9123
7524,1.86288,1.911
7527,1.8616,1.90969
7530,1.86033,1.90838
7533,1.85905,1.90707
7536,1.85777,1.90576
7539,1.85649,1.90444
7542,1.85521,1.90313
7545,1.85393,1.90182
7548,1.85265,1.90051
7551,1.85137,1.89919
7554,1.85009,1.89788
7557,1.84881,1.89656
7560,1.84753,1.89525
7563,1.84624,1.89393
7566,1.84496,1.89261
7569,1.84368,1.8913
7572,1.84239,1.88998
7575,1.84111,1.88866
7578,1.83982,1.88734
7581,1.83853,1.88602
7584,1.83725,1.8847
7587,1.83596,1.88338
7590,1.83467,1.88206
7593,1.83338,1.88074
7596,1.83209,1.87941
7599,1.8308,1.87809
7602,1.82951,1.87677
7605,1.82822,1.87544
7608,1.82693,1.87412
7611,1.82564,1.87279
7614,1.82435,1.87147
7617,1.82306,1.87014
7620,1.82176,1.86882
7623,1.82047,1.86749
7626,1.81918,1.86616
7629,1.81788,1.86483
7632,1.81659,1.86351
7635,1.81529,1.86218
7638,1.814,1.86085
7641,1.8127,1.85952
7644,1.8114,1.85819
7647,1.8101,1.85686
7650,1.80881,1.85553
7653,1.80751,1.85419
7656,1.80621,1.85286
7659,1.80491,1.85153
7662,1.80361,1.8502
7665,1.80231,1.84886
7668,1.80101,1.84753
7671,1.79971,1.84619
7674,1.79841,1.84486
7677,1.79711,1.84352
7680,1.79581,1.84219
7683,1.7945,1.84085
7686,1.7932,1.83952
7689,1.7919,1.83818
7692,1.7906,1.83684
7695,1.78929,1.83551
7698,1.78799,1.83417
7701,1.78668,1.83283
7704,1.78538,1.83149
7707,1.78407,1.83015
7710,1.78277,1.82881
7713,1.78146,1.82747
7716,1.78015,1.82613
7719,1.77885,1.82479
7722,1.77754,1.82345
7725,1.77623,1.82211
7728,1.77493,1.82077
7731,1.77362,1.81943
7734,1.77231,1.81809
7737,1.771,1.81674
7740,1.76969,1.8154
7743,1.76838,1.81406
7746,1.76707,1.81272
7749,1.76576,1.81137
7752,1.76445,1.81003
7755,1.76314,1.80868
7758,1.76183,1.80734
7761,1.76052,1.806
7764,1.75921,1.80465
7767,1.7579,1.80331
7770,1.75659,1.80196
7773,1.75528,1.80061
7776,1.75397,1.79927
7779,1.75265,1.79792
7782,1.75134,1.79658
7785,1.75003,1.79523
7788,1.74872,1.79388
7791,1.7474,1.79254
7794,1.74609,1.79119
7797,1.74478,1.78984
7800,1.74346,1.78849
7803,1.74215,1.78715
7806,1.74084,1.7858
7809,1.73952,1.78445
7812,1.73821,1.7831
7815,1.73689,1.78176
7818,1.73558,1.78041
7821,1.73426,1.77906
7824,1.73295,1.77771
7827,1.73164,1.77636
7830,1.73032,1.77501
7833,1.72901,1.77366
7836,1.72769,1.77231
7839,1.72637,1.77096
7842,1.72506,1.76961
7845,1.72374,1.76827
7848,1.72243,1.76692
7851,1.72111,1.76557
7854,1.7198,1.76422
7857,1.71848,1.76287
7860,1.71717,1.76152
7863,1.71585,1.76017
7866,1.71453,1.75882
7869,1.71322,1.75747
7872,1.7119,1.75612
7875,1.71059,1.75477
7878,1.70927,1.75342
7881,1.70795,1.75207
7884,1.70664,1.75072
7887,1.70532,1.74937
7890,1.70401,1.74802
7893,1.70269,1.74667
7896,1.70137,1.74532
7899,1.70006,1.74397
7902,1.69874,1.74262
7905,1.69743,1.74127
7908,1.69611,1.73992
7911,1.69479,1.73857
7914,1.69348,1.73722
7917,1.69216,1.73587
7920,1.69085,1.73452
7923,1.68953,1.73317
7926,1.68822,1.73182
7929,1.6869,1.73047
7932,1.68559,1.72912
7935,1.68427,1.72777
7938,1.68296,1.72642
7941,1.68164,1.72507
7944,1.68033,1.72373
7947,1.67901,1.72238
7950,1.6777,1.72103
7953,1.67638,1.71968
7956,1.67507,1.71833
7959,1.67375,1.71699
7962,1.67244,1.71564
7965,1.67113,1.71429
7968,1.66981,1.71294
7971,1.6685,1.7116
7974,1.66719,1.71025
7977,1.66587,1.7089
7980,1.66456,1.70756
7983,1.66325,1.70621
7986,1.66194,1.70486
7989,1.66063,1.70352
7992,1.65931,1.70217
7995,1.658,1.70083
7998,1.65669,1.69948
8001,1.65538,1.69814
