Wavelength,A_lambda/tau1,Al_Ebv
3732,4.31692,4.42842
3735,4.31359,4.425
3738,4.31026,4.42159
3741,4.30696,4.4182
3744,4.30367,4.41483
3747,4.30041,4.41148
3750,4.29715,4.40814
3753,4.29392,4.40483
3756,4.2907,4.40153
3759,4.2875,4.39824
3762,4.28432,4.39498
3765,4.28116,4.39173
3768,4.27801,4.3885
3771,4.27487,4.38529
3774,4.27176,4.38209
3777,4.26866,4.37891
3780,4.26557,4.37575
3783,4.2625,4.3726
3786,4.25945,4.36947
3789,4.25641,4.36635
3792,4.25339,4.36325
3795,4.25039,4.36017
3798,4.2474,4.3571
3801,4.24442,4.35405
3804,4.24146,4.35101
3807,4.23851,4.34799
3810,4.23558,4.34498
3813,4.23266,4.34199
3816,4.22976,4.33901
3819,4.22687,4.33604
3822,4.224,4.33309
3825,4.22113,4.33016
3828,4.21829,4.32724
3831,4.21545,4.32433
3834,4.21263,4.32144
3837,4.20982,4.31856
3840,4.20703,4.31569
3843,4.20425,4.31283
3846,4.20148,4.30999
3849,4.19872,4.30716
3852,4.19597,4.30435
3855,4.19324,4.30155
3858,4.19052,4.29875
3861,4.18781,4.29598
3864,4.18511,4.29321
3867,4.18243,4.29045
3870,4.17975,4.28771
3873,4.17709,4.28498
3876,4.17444,4.28226
3879,4.1718,4.27955
3882,4.16916,4.27685
3885,4.16654,4.27416
3888,4.16393,4.27148
3891,4.16133,4.26881
3894,4.15874,4.26616
3897,4.15616,4.26351
3900,4.15359,4.26087
3903,4.15103,4.25825
3906,4.14848,4.25563
3909,4.14594,4.25302
3912,4.1434,4.25042
3915,4.14088,4.24783
3918,4.13836,4.24525
3921,4.13586,4.24268
3924,4.13336,4.24011
3927,4.13087,4.23756
3930,4.12838,4.23501
3933,4.12591,4.23247
3936,4.12344,4.22994
3939,4.12098,4.22742
3942,4.11853,4.2249
3945,4.11608,4.22239
3948,4.11365,4.21989
3951,4.11121,4.2174
3954,4.10879,4.21491
3957,4.10637,4.21243
3960,4.10396,4.20996
3963,4.10156,4.20749
3966,4.09916,4.20503
3969,4.09677,4.20258
3972,4.09438,4.20013
3975,4.092,4.19769
3978,4.08962,4.19525
3981,4.08725,4.19282
3984,4.08489,4.19039
3987,4.08253,4.18797
3990,4.08017,4.18556
3993,4.07782,4.18315
3996,4.07548,4.18074
3999,4.07314,4.17834
4002,4.0708,4.17595
4005,4.06847,4.17355
4008,4.06614,4.17117
