name,bptagn,nontrad,unclassified,composite,sf
ECO01247,False,False,False,False,True
ECO01249,False,True,False,False,True
ECO01252,False,False,False,False,True
ECO01253,False,True,False,False,True
ECO01254,False,True,False,False,True
ECO01259,False,False,False,False,True
ECO01264,False,False,False,False,True
ECO01282,False,False,False,False,True
ECO01283,False,False,False,False,True
ECO01290,False,False,False,False,True
ECO01296,False,False,False,False,True
ECO01305,False,False,False,False,True
ECO01312,False,False,False,False,True
ECO01315,False,False,False,False,True
ECO01316,True,False,True,False,False
ECO01318,False,False,False,False,True
ECO01321,False,True,False,False,True
ECO01327,False,False,False,False,True
ECO01332,False,False,False,False,True
ECO01333,False,False,False,False,True
ECO01337,False,False,False,False,True
ECO01339,False,False,False,False,True
ECO01343,False,False,False,False,True
ECO01364,False,False,False,False,True
ECO01369,False,False,False,False,True
ECO01392,False,False,False,False,True
ECO01397,False,False,False,False,True
ECO01398,False,False,False,False,True
ECO01402,False,False,False,False,True
ECO01404,False,False,False,False,True
ECO01416,False,False,False,False,True
ECO01421,False,True,False,False,True
ECO01439,False,False,False,False,True
ECO01460,False,False,False,False,True
ECO01464,False,False,False,False,True
ECO01470,False,False,False,False,True
ECO01472,False,False,False,False,True
ECO01478,False,False,False,False,True
ECO01485,False,False,False,False,True
ECO01574,False,False,False,False,True
ECO01641,False,False,False,False,True
ECO01643,False,False,False,False,True
ECO01651,False,False,False,False,True
ECO01665,False,False,False,False,True
ECO01667,False,False,False,False,True
ECO01674,False,True,False,False,True
ECO01686,False,False,False,False,True
ECO01690,False,False,False,False,True
ECO01699,False,False,False,False,True
ECO01703,False,False,False,False,True
ECO01707,False,False,False,False,True
ECO01709,False,False,False,False,True
ECO01712,False,False,False,False,True
ECO01713,False,False,False,False,True
ECO01723,False,False,False,False,True
ECO01737,False,False,False,False,True
ECO01746,False,False,False,False,True
ECO01747,False,False,False,False,True
ECO01749,False,False,False,False,True
ECO01752,False,False,False,False,True
ECO01763,False,False,False,False,True
ECO01779,False,False,False,False,True
ECO01784,False,False,False,False,True
ECO01828,False,False,False,False,True
ECO01852,False,False,False,False,True
ECO01853,False,False,False,False,True
ECO01854,False,False,False,False,True
ECO01855,False,False,False,False,True
ECO01861,False,False,False,False,True
ECO01867,False,False,False,False,True
ECO01869,False,False,False,False,True
ECO01873,False,False,False,False,True
ECO01889,False,True,False,False,True
ECO01890,False,False,False,False,True
ECO01894,False,False,False,False,True
ECO01913,False,True,False,False,True
ECO01928,False,True,False,False,True
ECO01938,False,False,False,False,True
ECO01954,False,False,False,False,True
ECO01956,False,False,False,False,True
ECO01987,False,False,False,False,True
ECO01988,False,False,False,False,True
ECO01990,False,False,False,False,True
ECO02003,False,False,False,False,True
ECO02005,False,False,False,False,True
ECO02018,False,False,False,False,True
ECO02024,False,False,False,False,True
ECO02026,False,False,False,False,True
ECO02035,False,False,False,False,True
ECO02042,False,False,False,False,True
ECO02062,False,False,False,False,True
ECO02068,False,False,False,False,True
ECO02074,False,True,False,False,True
ECO02092,False,False,False,False,True
ECO02115,False,False,False,False,True
ECO02121,False,False,False,False,True
ECO02123,False,False,False,False,True
ECO02124,False,False,False,False,True
ECO02125,False,False,False,False,True
ECO02126,False,False,False,False,True
ECO02127,False,False,False,False,True
ECO02128,False,False,False,False,True
ECO02129,False,False,False,False,True
ECO02130,False,False,False,False,True
ECO02132,False,False,False,False,True
ECO02133,False,False,False,False,True
ECO02134,False,False,False,False,True
ECO02135,False,False,False,False,True
ECO02138,False,False,False,False,True
ECO02139,False,False,False,False,True
ECO02140,False,False,False,False,True
ECO02142,False,False,False,False,True
ECO02144,False,False,False,False,True
ECO02145,False,False,False,False,True
ECO02146,False,False,False,False,True
ECO02148,False,False,False,False,True
ECO02151,False,False,False,False,True
