#ID SDSSID RA DEG z Plate MJD Fiber nspec
   79 J002405.30+142253.8   6.0220813   14.3816       0.100551    753 52233 179 1
   80 J002452.54-103819.6   6.2189155  -10.638786     0.102703    653 52145 170 1
   81 J002456.16+011227.3   6.2340029    1.2075767    0.251102    391 51782 324 1
   82 J002459.59-090027.5   6.2482839   -9.0076467    0.192311    653 52145 523 1
   83 J002516.46+011130.5   6.3186033    1.1918029    0.178834    391 51782 338 1
   84 J002527.36+160226.9   6.3639793   16.040808     0.110648    753 52233 575 1
   85 J002531.29-003407.2   6.3803811   -0.56867498   0.229153   1542 53734  35 1
   86 J002620.46+001813.1   6.5852545    0.30365107   0.212508    390 51900 634 1
   87 J002620.87+011518.1   6.5869576    1.2550251    0.272813    391 51782 366 1
   88 J002621.30+000915.0   6.588746     0.15416216   0.0595907   391 51782 398 1
   89 J002629.13+000509.6   6.621365     0.086006342  0.213088    390 51900 624 1
   90 J002656.88+001436.8   6.7369936    0.24356418   0.317758    688 52203 594 1
   91 J002658.14-090137.3   6.7422686   -9.0270192    0.338224    653 52145 576 1
   92 J002736.52-005906.4   6.9021538   -0.98510159   0.251464    391 51782 206 1
   93 J002746.39-101546.7   6.9433029  -10.262982     0.0478793   653 52145  71 1
   94 J002752.39+002615.8   6.9682906    0.43771971   0.205359    391 51782 461 1
   95 J002822.54-103903.5   7.0939008  -10.650981     0.301712    653 52145  69 1
   96 J002830.95-002402.4   7.1289598   -0.40066447   0.16737     391 51782 191 1
   97 J002831.71-000413.2   7.1321342   -0.070329066  0.251906    391 51782 189 1
   98 J002839.66+145138.8   7.1652412   14.860789     0.196286    417 51821 316 1
   99 J002840.69-102145.0   7.1695522  -10.362512     0.321661    654 52146 314 1
  100 J002848.78+145216.3   7.2032353   14.871203     0.0892657   417 51821 313 1
  101 J002916.52+134732.4   7.3188213   13.792345     0.207656    417 51821 259 1
  102 J002929.88+145006.6   7.3745194   14.835163     0.20558     417 51821 276 1
  103 J002940.36-094333.6   7.4181609   -9.7260135    0.302058    653 52145 624 1
  104 J002947.83-002258.6   7.4492868   -0.38295617   0.22884     391 51782 161 1
  105 J002954.57+145428.1   7.4773587   14.907811     0.118491    417 51821 224 1
  106 J002959.04+150817.3   7.495992    15.138145     0.210797    417 51821 437 1
  107 J003024.94+000254.5   7.603911     0.048480233  0.287924    391 51782 556 1
  108 J003043.59-103517.6   7.6816125  -10.588216     0.296094    654 52146 236 1
  109 J003108.81+144543.5   7.7867177   14.762082     0.118793    417 51821 182 1
  110 J003114.68+135436.3   7.8111875   13.910089     0.238355    417 51821  87 1
  111 J003115.89-090112.4   7.8162261   -9.0201077    0.322604    654 52146 443 1
  112 J003136.32-085828.8   7.9013149   -8.9746595    0.227309    654 52146 442 1
  113 J003139.71-104706.0   7.9154415  -10.784997     0.26087     654 52146 211 1
  114 J003147.25-004359.4   7.946855    -0.7331594    0.0669752   391 51782   3 1
