#ID SDSSID RA DEG z Plate MJD Fiber nspec
 2908 J092246.09+245616.0 140.69203     24.937784     0.24004    2291 53714 514 1
 2909 J092246.31+333228.1 140.69294     33.541135     0.315233   1592 52990 575 1
 2910 J092247.03+512038.0 140.69595     51.3439       0.159821    766 52247 614 1
 2911 J092248.54+092040.1 140.70226      9.3444603    0.0925505  1302 52763 418 1
 2912 J092253.00+395711.9 140.72082     39.953319     0.288909    939 52636 289 1
 2913 J092255.00+624828.9 140.72917     62.808026     0.142849   1787 54465 181 1
 2914 J092256.43+042733.3 140.73511      4.4592542    0.263815    568 52254 361 1
 2915 J092301.36+021129.0 140.75565      2.1913951    0.342776    473 51929 586 1
 2916 J092303.14+293514.3 140.76307     29.587304     0.0957127  1939 53389 345 1
 2917 J092308.16+561455.4 140.78402     56.248719     0.249309    451 51908 153 1
 2918 J092309.87+453046.4 140.79113     45.512897     0.292377    833 52314 183 1
 2919 J092311.92+322525.1 140.79965     32.423648     0.347743   1592 52990 102 1
 2920 J092312.99+315905.6 140.80411     31.9849       0.244312   1938 53379 536 1
 2921 J092313.32+565622.3 140.8055      56.939528     0.049383    451 51908 556 1
 2922 J092313.77+150222.0 140.80739     15.03945      0.334932   2440 53818 501 1
 2923 J092317.53+420200.9 140.82306     42.033583     0.238291   1201 52674  62 1
 2924 J092319.74+294609.1 140.83223     29.769184     0.0627622  1939 53389 347 1
 2925 J092322.68+282526.6 140.84449     28.42405      0.318361   1937 53388 638 1
 2926 J092329.59+323422.9 140.87331     32.573039     0.272365   1592 52990  68 1
 2927 J092330.79+225836.9 140.87829     22.976908     0.184993   2290 53727 570 1
 2928 J092334.80+551611.1 140.89501     55.269743     0.269386    555 52266 382 1
 2929 J092339.28+301139.3 140.91365     30.194261     0.28889    1939 53389 338 1
 2930 J092343.00+225432.6 140.92918     22.909066     0.0332235  2290 53727 578 1
 2931 J092343.88+500540.2 140.93283     50.094503     0.256474    766 52247  28 1
 2932 J092347.97+054246.1 140.94989      5.7128069    0.338154    991 52707 552 1
 2933 J092348.07+571950.5 140.9503      57.330694     0.217005    452 51911 282 1
 2934 J092349.61+123822.4 140.95671     12.639552     0.18683    2577 54086 586 1
 2935 J092349.72+333235.6 140.95718     33.543209     0.235978   1593 52991 305 1
 2936 J092351.17+032231.6 140.96322      3.3754577    0.17981     568 52254 239 1
 2937 J092351.54+634239.6 140.96475     63.710994     0.289437   1787 54465 490 1
 2938 J092353.10+055621.9 140.97123      5.9394091    0.261463    991 52707 538 1
 2939 J092353.43+501115.8 140.97264     50.18771      0.099847    766 52247  21 1
 2940 J092355.85+282637.5 140.98271     28.443753     0.0818671  1937 53388 625 1
 2941 J092400.09+024408.4 141.00036      2.7356761    0.348554    568 52254 207 1
 2942 J092404.44+362518.8 141.0185      36.421882     0.184853   1274 52995 492 1
 2943 J092407.84+615626.7 141.03266     61.940752     0.204532   1787 54465 129 1
 2944 J092411.47+022321.8 141.04778      2.389402     0.0893431   473 51929 619 1
 2945 J092412.11+161135.5 141.05046     16.193205     0.0991713  2440 53818 610 1
 2946 J092414.71+030900.8 141.06129      3.1502193    0.128052    568 52254 184 1
 2947 J092417.76+110807.0 141.07399     11.135282     0.133456   1740 53050 506 1
 2948 J092420.51+214839.4 141.08545     21.810943     0.250503   2289 53708 365 1
 2949 J092420.58+143622.5 141.08573     14.606246     0.295767   2440 53818 107 1
 2950 J092421.09+365337.8 141.08788     36.893821     0.106425   1274 52995 404 1
 2951 J092425.54+104846.7 141.10643     10.812975     0.241927   1740 53050 152 1
 2952 J092430.42+075017.5 141.12676      7.8381844    0.268962   1195 52724 410 1
 2953 J092435.36+150410.0 141.14733     15.069434     0.125002   2440 53818 593 1
 2954 J092437.72+123152.8 141.15718     12.531323     0.167057   2577 54086 627 1
 2955 J092438.89+560747.0 141.16204     56.12972      0.0250223   451 51908 145 1
 2956 J092439.49+372228.8 141.16455     37.374668     0.242245   1213 52972 631 1
 2957 J092439.52+590803.9 141.16468     59.134427     0.332602    485 51909 217 1
 2958 J092440.43-000134.7 141.16844     -0.026304701  0.322513    474 52000 490 1
 2959 J092442.68+621039.4 141.17785     62.177619     0.185873   1787 54465 131 1
 2960 J092445.68+012056.8 141.19035      1.3491006    0.318277    475 51965 308 1
 2961 J092448.40+150256.5 141.20166     15.049032     0.300001   2440 53818 596 1
 2962 J092450.08+015059.7 141.20866      1.8499217    0.177377    473 51929 623 1
 2963 J092450.09+312522.4 141.20871     31.42289      0.231338   1938 53379 607 1
 2964 J092450.29+530840.7 141.20953     53.144632     0.200363    554 52000  34 1
 2965 J092451.41+423218.9 141.21421     42.538576     0.17049    1201 52674 636 1
 2966 J092456.07+532940.4 141.23362     53.494545     0.290145    554 52000  96 1
 2967 J092459.29+252739.8 141.24703     25.461051     0.26835    2291 53714 604 1
 2968 J092500.20+144053.4 141.25082     14.681495     0.139268   2440 53818 110 1
 2969 J092500.47+022222.2 141.25194      2.3728327    0.0836769   473 51929 612 1
 2970 J092506.70+390708.0 141.27792     39.118897     0.247478   1214 52731 450 1
 2971 J092506.95+150215.7 141.27896     15.037695     0.220308   2440 53818 634 1
 2972 J092508.69+554422.9 141.28619     55.739707     0.221582    451 51908   6 1
 2973 J092511.64+550351.1 141.29851     55.064208     0.262999    554 52000 559 1
 2974 J092512.85+521710.3 141.30355     52.286206     0.0352873   767 52252 418 1
 2975 J092513.05+132255.6 141.30436     13.382122     0.195712   2578 54093 432 1
 2976 J092515.00+531711.8 141.31252     53.286616     0.186088    554 52000  51 1
 2977 J092521.36+143600.7 141.33898     14.6002       0.105813   2440 53818  76 1
 2978 J092522.39+130538.7 141.34329     13.094082     0.079512   2578 54093 425 1
 2979 J092527.30+370217.1 141.36377     37.038089     0.23192    1274 52995 454 1
 2980 J092527.97+184433.2 141.36656     18.742566     0.298287   2360 53728 472 1
 2981 J092528.25+233631.0 141.36772     23.608609     0.0329926  2293 53730 341 1
 2982 J092530.19+124830.9 141.37579     12.808592     0.127173   2578 54093 222 1
 2983 J092530.29+301315.1 141.37621     30.220863     0.333255   1938 53379  26 1
 2984 J092530.92+374917.2 141.37882     37.821434     0.135276   1214 52731 268 1
 2985 J092533.68+021342.5 141.39034      2.2284839    0.22793     475 51965 390 1
 2986 J092536.09+201649.6 141.40038     20.280435     0.22809    2289 53708 185 1
 2987 J092537.83+640921.7 141.40761     64.156027     0.0525268  1787 54465 580 1
 2988 J092544.61+001527.2 141.43586      0.2575432    0.299299    474 52000 506 1
 2989 J092545.77+340747.5 141.44069     34.129871     0.15731    1593 52991 391 1
 2990 J092546.98+111531.8 141.44576     11.258832     0.25864    1740 53050 547 1
 2991 J092547.32+050231.7 141.44718      5.0421314    0.126719    991 52707  61 1
 2992 J092548.98+031613.6 141.45407      3.270433     0.163011    568 52254 161 1
 2993 J092549.83+115821.5 141.45764     11.972636     0.0534805  2578 54093 265 1
 2994 J092554.26+533558.3 141.4761      53.599525     0.0766643   554 52000  58 1
 2995 J092554.44+453544.3 141.47685     45.595638     0.329504    833 52314 114 1
 2996 J092554.72+195405.1 141.47799     19.90143      0.192173   2289 53708 130 1
 2997 J092602.61+172639.2 141.51086     17.444228     0.127653   2360 53728 201 1
 2998 J092603.27+124403.7 141.51362     12.734372     0.0287959  2578 54093 195 1
 2999 J092604.36+150154.6 141.51817     15.031834     0.0542293  2579 54068 310 1
 3000 J092607.11+171034.6 141.52961     17.176265     0.190861   2368 53758 438 1
 3001 J092611.21+144453.7 141.54671     14.748259     0.179884   2440 53818  33 1
 3002 J092613.80+065056.5 141.55752      6.8490152    0.0780039  1195 52724 101 1
 3003 J092617.01+210930.1 141.57089     21.158365     0.261222   2289 53708 431 1
 3004 J092620.43+352250.4 141.58512     35.380659     0.247463   1274 52995 147 1
 3005 J092620.62+101734.8 141.58592     10.293006     0.269562   1740 53050  67 1
 3006 J092621.37+331938.3 141.58903     33.327301     0.192683   1593 52991 215 1
 3007 J092628.86+031411.9 141.62025      3.2366474    0.115265    568 52254 167 1
 3008 J092629.23-000605.7 141.62181     -0.10158915   0.201325    474 52000 519 1
 3009 J092629.50+312401.5 141.62292     31.400414     0.1629     1938 53379 619 1
 3010 J092632.82+654101.7 141.63675     65.683803     0.0867868  1877 54464 602 1
 3011 J092635.28+273612.0 141.64698     27.60332      0.259834   1940 53383 425 1
 3012 J092636.78+622845.6 141.65327     62.479332     0.128756   1787 54465 163 1
 3013 J092642.82+032542.5 141.67842      3.4284771    0.162351    568 52254 142 1
 3014 J092645.59-001112.7 141.68994     -0.18685199   0.303288    474 52000 152 1
 3015 J092648.06+025655.0 141.70025      2.9486077    0.159778    568 52254 140 1
 3016 J092655.26+082249.3 141.73025      8.3803586    0.121458   1302 52763  23 1
 3017 J092655.75+410839.5 141.73228     41.144308     0.141614    939 52636 483 1
 3018 J092655.92+525618.3 141.73301     52.938409     0.0876246   767 52252 457 1
 3019 J092659.63+040210.0 141.74844      4.0361       0.14466     568 52254 502 1
 3020 J092700.14+190038.6 141.75059     19.010731     0.190632   2360 53728 503 1
 3021 J092700.53+084329.5 141.75222      8.7248575    0.112464   1303 53050 300 1
 3022 J092702.31+043308.2 141.75962      4.5522805    0.322078    568 52254 524 1
 3023 J092704.38+563351.6 141.76827     56.564333     0.219553    451 51908 599 1
 3024 J092710.05+162823.2 141.79189     16.473104     0.212058   2368 53758 256 1
 3025 J092710.71+015246.4 141.79461      1.879568     0.136656    475 51965 432 1
 3026 J092713.07+544314.4 141.80446     54.720665     0.190502    554 52000 640 1
 3027 J092713.31+102540.9 141.80547     10.428041     0.206169   1740 53050  69 1
 3028 J092715.82+323747.6 141.81593     32.629888     0.143228   1593 52991 127 1
 3029 J092717.64+105122.0 141.82348     10.856103     0.289444   1740 53050 595 1
 3030 J092718.51+230112.4 141.82712     23.020103     0.0262562  2293 53730 278 1
 3031 J092721.42+060957.7 141.83923      6.166039     0.0783763   991 52707 603 1
 3032 J092725.37+113419.7 141.85572     11.572126     0.134532   1740 53050 604 1
 3033 J092728.31+314507.2 141.86795     31.751994     0.242547   1941 53386 431 1
 3034 J092728.57+355513.2 141.86904     35.920346     0.241068   1274 52995 558 1
 3035 J092729.22+105935.9 141.87174     10.993315     0.232934   1740 53050 592 1
 3036 J092735.29+193516.3 141.89703     19.58786      0.193631   2360 53728 404 1
 3037 J092736.84+380530.8 141.90351     38.091878     0.315994   1214 52731 151 1
 3038 J092739.77+050312.6 141.91571      5.0534891    0.12602     991 52707  36 1
 3039 J092740.77+262701.1 141.91989     26.450304     0.048469   1940 53383  98 1
 3040 J092741.61+122130.7 141.92338     12.358532     0.18842    2578 54093 253 1
 3041 J092741.73+420316.6 141.92387     42.054615     0.303467    939 52636 448 1
 3042 J092753.93+510843.4 141.97472     51.145397     0.311952    767 52252 163 1
 3043 J092755.14+162110.8 141.97977     16.35301      0.119713   2368 53758 213 1
 3044 J092757.65+392901.8 141.99021     39.48384      0.319606   1214 52731 434 1
 3045 J092758.16+220007.8 141.99234     22.002167     0.157334   2293 53730 287 1
 3046 J092758.44+571234.5 141.99349     57.209584     0.226554    451 51908 619 1
 3047 J092801.30+491817.3 142.00541     49.304808     0.114592    900 52637 567 1
 3048 J092802.04+500537.7 142.00851     50.093804     0.102087    901 52641 358 1
 3049 J092803.05+442009.2 142.01271     44.335887     0.264051    870 52325 377 1
 3050 J092808.69+552712.7 142.0362      55.453514     0.182439    555 52266 464 1
 3051 J092810.50+411129.2 142.04374     41.191439     0.152687    939 52636 516 1
 3052 J092810.68+091535.1 142.04449      9.2597463    0.213003   1303 53050 270 1
 3053 J092811.86+440015.7 142.04941     44.004365     0.240425    870 52325 463 1
 3054 J092812.54+413622.9 142.05226     41.606364     0.178361    939 52636 455 1
 3055 J092813.05+042339.7 142.05438      4.3943714    0.241915    568 52254 565 1
 3056 J092813.25+052622.5 142.05521      5.4395854    0.18761     991 52707 623 1
 3057 J092815.46+125148.7 142.0644      12.863526     0.0946811  2578 54093 172 1
 3058 J092820.99+493736.9 142.08746     49.626914     0.238258    901 52641 310 1
 3059 J092826.32+350219.7 142.10966     35.038799     0.133624   1593 52991 365 1
 3060 J092828.28+311152.8 142.11785     31.197996     0.161148   1941 53386 185 1
 3061 J092830.04+213254.4 142.12518     21.548436     0.188295   2289 53708 537 1
 3062 J092830.50+631314.7 142.12707     63.22076      0.236359   1787 54465 599 1
 3063 J092830.69+161526.2 142.12787     16.257268     0.133629   2368 53758 121 1
 3064 J092831.47+611128.1 142.13113     61.191142     0.275384    485 51909 576 1
 3065 J092832.07+210705.7 142.13361     21.118252     0.167001   2289 53708 519 1
 3066 J092832.95+374943.6 142.13728     37.828766     0.250832   1214 52731 107 1
 3067 J092837.98+602521.0 142.15825     60.422503     0.295425    485 51909 506 1
 3068 J092843.98+222402.7 142.18326     22.400742     0.0570322  2293 53730 254 1
 3069 J092846.06+444003.3 142.1919      44.667595     0.115407    870 52325 419 1
 3070 J092846.74+541807.7 142.19475     54.302151     0.266438    555 52266 140 1
 3071 J092854.06+522415.6 142.22527     52.404343     0.206797    767 52252 522 1
 3072 J092854.57+254806.6 142.22737     25.801834     0.180103   2294 54524 385 2
 3073 J092856.27+013246.0 142.23447      1.5461133    0.284377    475 51965 190 1
 3074 J092857.66+395631.4 142.24023     39.942055     0.211381    939 52636  83 1
 3075 J092858.53+454432.8 142.24387     45.742458     0.306139    833 52314  80 1
 3076 J092858.90-002129.3 142.24543     -0.35812979   0.216125    474 52000  75 1
 3077 J092859.27+561249.7 142.24696     56.213792     0.271126    451 51908  22 1
 3078 J092905.36+524943.2 142.27234     52.828654     0.197146    768 52281 307 1
 3079 J092909.79+464424.1 142.2908      46.740018     0.24011     833 52314 615 1
 3080 J092913.32+092414.3 142.3055       9.4039616    0.271098   1303 53050 392 1
 3081 J092915.40+351527.0 142.31418     35.257507     0.242708   1274 52995  64 1
 3082 J092918.35+041933.4 142.32646      4.3259342    0.246279    568 52254 603 1
 3083 J092919.47+361948.0 142.33113     36.330001     0.21847    1274 52995 583 1
 3084 J092919.93+434116.6 142.33304     43.687934     0.24138     870 52325 496 1
 3085 J092925.73+043703.0 142.35721      4.6175005    0.0905203   992 52644 220 1
 3086 J092927.90+225943.5 142.36627     22.99543      0.264833   2293 53730 181 1
 3087 J092929.01+025649.1 142.37089      2.9469653    0.13869     568 52254  56 1
 3088 J092929.86+395352.1 142.3744      39.897818     0.25229    1214 52731 509 1
 3089 J092932.32+271042.8 142.38467     27.178553     0.272953   1940 53383 499 1
 3090 J092933.36+351641.7 142.38902     35.278258     0.337549   1274 52995  63 1
 3091 J092933.59+095617.0 142.38995      9.9380565    0.231952   1303 53050 378 1
 3092 J092941.05+021439.5 142.42104      2.2443089    0.224886    475 51965 506 1
 3093 J092945.45+441435.1 142.43937     44.243091     0.329158    870 52325 455 1
 3094 J092947.19+164402.6 142.44663     16.73405      0.201623   2368 53758 144 1
 3095 J092955.82+425017.6 142.48257     42.838223     0.148174    870 52325  57 1
 3096 J093005.30+100329.0 142.52208     10.058053     0.302658   1303 53050 367 1
 3097 J093005.31+173925.6 142.52214     17.657105     0.216198   2368 53758 459 2
 3098 J093008.03+090651.4 142.53347      9.1142751    0.172252   1303 53050 224 1
 3099 J093010.75+150514.4 142.54481     15.087334     0.247887   2579 54068 480 1
 3100 J093011.17+400518.7 142.54656     40.088527     0.240715    939 52636  54 1
 3101 J093017.72+470721.1 142.57382     47.12252      0.159862    834 52316 274 1
 3102 J093021.73+305944.1 142.59056     30.995576     0.0749494  1941 53386 149 1
 3103 J093022.05+505358.6 142.59187     50.899614     0.25252     767 52252  49 1
 3104 J093023.16+435047.1 142.59652     43.846417     0.13222     870 52325 486 1
 3105 J093031.10+183454.5 142.62959     18.581803     0.188721   2360 53728  77 1
 3106 J093031.22+552935.2 142.6301      55.493105     0.185493    556 51991 288 1
 3107 J093033.06+034443.6 142.63775      3.7454476    0.0910586   569 52264 356 1
 3108 J093034.43+204416.7 142.64347     20.73796      0.242757   2289 53708 112 1
 3109 J093034.48+075503.7 142.64367      7.9176977    0.215383   1196 52733 421 1
 3110 J093041.29+363153.1 142.67205     36.531428     0.21332    1275 52996 222 1
 3111 J093048.27+404447.3 142.70114     40.746485     0.150802    939 52636 105 1
 3112 J093049.78+413240.1 142.70741     41.544464     0.148243    939 52636 547 1
 3113 J093052.35+194944.3 142.71812     19.828984     0.259469   2360 53728 565 1
 3114 J093053.27+151306.3 142.72196     15.218408     0.205723   2579 54068 484 1
 3115 J093059.42+274100.4 142.74757     27.683451     0.244708   1940 53383 573 1
 3116 J093103.03+533901.1 142.76262     53.650318     0.18026     555 52266  86 1
 3117 J093104.23+554708.0 142.76761     55.785557     0.164198    555 52266 444 1
 3118 J093106.97+015542.0 142.77905      1.9283329    0.234478    475 51965 593 1
 3119 J093108.68-001055.0 142.78617     -0.18193655   0.225933    476 52314 313 1
 3120 J093110.86+284615.3 142.79527     28.770924     0.292135   1939 53389  59 1
 3121 J093112.79+112157.1 142.8033      11.36585      0.183022   1741 53052 435 1
 3122 J093117.51+605515.6 142.82296     60.920989     0.249186    486 51910 318 1
 3123 J093117.81+033119.6 142.82419      3.522116     0.20476     568 52254  37 1
 3124 J093121.51+555515.5 142.83961     55.920976     0.181652    556 51991 299 1
 3125 J093123.86+051345.2 142.84941      5.229231     0.0854419   992 52644 191 1
 3126 J093124.93+030827.6 142.85388      3.1409967    0.290745    569 52264 261 1
 3127 J093134.25+003028.3 142.89272      0.50785228   0.0731808   475 51965  83 1
 3128 J093139.05+320400.1 142.9127      32.066708     0.225702   1941 53386 553 1
 3129 J093147.74+433119.3 142.94893     43.522025     0.132089    870 52325 114 1
 3130 J093147.79+293742.8 142.94912     29.628562     0.139748   1939 53389 584 1
 3131 J093151.89+435051.7 142.9662      43.847701     0.188708    870 52325 553 1
 3132 J093156.27+321310.6 142.98445     32.219623     0.205839   1943 53386 292 1
 3133 J093157.77+261818.2 142.99071     26.305046     0.291766   2294 53733 412 2
 3134 J093158.01+375632.5 142.99171     37.942365     0.136215   1214 52731  34 1
 3135 J093159.43+033622.1 142.99761      3.6061465    0.323985    569 52264 232 1
 3136 J093200.08+553347.4 143.00034     55.563167     0.265582    556 51991 295 1
 3137 J093202.63+352928.1 143.01096     35.491149     0.166485   1275 52996 207 1
 3138 J093203.19+014546.1 143.0133       1.7628098    0.271424    475 51965 598 1
 3139 J093203.65+020403.9 143.01519      2.0677461    0.110931    475 51965 622 1
 3140 J093206.91+172703.3 143.0288      17.450915     0.0513736  2368 53758 550 1
 3141 J093207.56+615537.8 143.03149     61.927164     0.292285    486 51910 341 1
 3142 J093208.83+035925.0 143.03679      3.9902851    0.325465    569 52264 431 1
 3143 J093209.96+040319.9 143.04148      4.0555216    0.275814    569 52264 423 1
 3144 J093210.97+094116.6 143.0457       9.687934     0.0984041  1304 52993 380 1
 3145 J093214.19+622139.1 143.05914     62.360874     0.306785   1787 54465   3 1
 3146 J093215.26+173935.9 143.0636      17.659982     0.158875   2368 53758 571 1
 3147 J093230.42+142957.0 143.12674     14.499172     0.135204   2579 54068 147 1
 3148 J093232.53+390902.1 143.13555     39.15057      0.104607   1214 52731 562 1
 3149 J093237.17+161017.2 143.15489     16.171449     0.175741   2368 53758  56 1
 3150 J093240.55+023332.7 143.16896      2.559072     0.0567814   475 51965 568 1
 3151 J093247.43+305941.8 143.19762     30.994938     0.285266   1941 53386  77 1
 3152 J093257.72+475249.6 143.2405      47.880445     0.19794     834 52316 421 1
 3153 J093258.37+383101.1 143.24319     38.516978     0.348349   1214 52731  56 1
 3154 J093258.46+020612.3 143.2436       2.1034305    0.32846     475 51965 629 1
 3155 J093259.60+040506.1 143.24835      4.0850257    0.0590173   569 52264 427 1
 3156 J093301.85+314450.7 143.25772     31.747403     0.311135   1941 53386 595 1
 3157 J093302.69+385228.0 143.26119     38.874454     0.177011   1215 52725 318 1
 3158 J093304.60+021927.5 143.26917      2.3243075    0.286302    475 51965 614 1
 3159 J093306.06+460752.1 143.27523     46.131135     0.127667    834 52316 206 1
 3160 J093308.88+534748.9 143.287       53.796926     0.0572318   555 52266  49 1
 3161 J093312.48+611936.3 143.30201     61.326755     0.122769    486 51910 268 1
 3162 J093313.76+214617.2 143.30732     21.77144      0.298502   2292 53713 352 1
 3163 J093314.97+080225.6 143.31239      8.040456     0.165054   1196 52733 489 1
 3164 J093315.98+392705.6 143.31659     39.451554     0.103522   1214 52731 623 1
 3165 J093319.64+092540.0 143.33184      9.4277912    0.137068   1303 53050 515 1
 3166 J093320.17+225306.8 143.33403     22.885209     0.15249    2293 53730 106 1
 3167 J093322.83+010120.9 143.34511      1.0224696    0.160112    475 51965   8 1
 3168 J093327.87+093200.1 143.36614      9.5333562    0.0497115  1304 52993 411 1
 3169 J093328.99+291734.1 143.37079     29.292816     0.262001   1939 53389  80 1
 3170 J093334.25+360709.0 143.39269     36.119155     0.324783   1275 52996  90 1
 3171 J093334.25+485804.4 143.39271     48.967901     0.26175     901 52641 201 1
 3172 J093334.56+223938.3 143.394       22.660627     0.115476   2293 53730 107 1
 3173 J093337.03+191533.7 143.40428     19.259369     0.242769   2361 53762 306 1
 3174 J093337.42+385847.4 143.40591     38.979825     0.248243   1215 52725 317 1
 3175 J093342.56+032538.3 143.42732      3.4273019    0.101419    569 52264 199 1
 3176 J093344.47+054830.8 143.4353       5.8085574    0.177659    992 52644 507 1
 3177 J093347.76+211436.4 143.44901     21.243457     0.172207   2292 53713 272 1
 3178 J093347.91+113529.5 143.44962     11.591538     0.217246   1741 53052 486 1
 3179 J093348.27+415407.6 143.45114     41.902098     0.26928     939 52636 604 1
 3180 J093354.08+244910.5 143.47534     24.819594     0.198316   2294 54524  87 2
 3181 J093354.38+133808.2 143.47659     13.635625     0.155631   2580 54092 393 1
 3182 J093354.95+314420.7 143.47897     31.739073     0.124466   1943 53386 318 1
 3183 J093355.88+141920.5 143.48284     14.322365     0.111665   2579 54068  51 1
 3184 J093357.30+082930.3 143.48875      8.4917451    0.240955   1303 53050  45 1
 3185 J093358.14+240104.9 143.49224     24.01802      0.151546   2293 53730 577 1
 3186 J093401.24+245342.5 143.50517     24.895133     0.0333826  2294 54524 100 1
 3187 J093401.96+342900.5 143.50818     34.483475     0.322825   1593 52991 640 1
 3188 J093402.78+371436.7 143.51158     37.243519     0.278969   1275 52996 494 1
 3189 J093404.75+195617.6 143.5198      19.938235     0.174878   2361 53762 391 1
 3190 J093408.60+175644.0 143.53583     17.945568     0.027112   2369 53733 355 1
 3191 J093409.84+423944.7 143.54102     42.662424     0.34256     940 52670 389 1
 3192 J093410.88+305657.8 143.54535     30.949398     0.0511637  1942 53415 390 1
 3193 J093417.52+332858.9 143.57299     33.483016     0.256034   1593 52991  21 1
 3194 J093421.58+313734.8 143.58992     31.626341     0.123664   1941 53386  80 1
 3195 J093425.17+544344.8 143.60489     54.729104     0.230801    555 52266 157 1
 3196 J093426.84+431947.0 143.61182     43.329736     0.263491    870 52325  64 1
 3197 J093431.55+560816.5 143.63146     56.13792      0.204685    555 52266 568 1
 3198 J093432.34+541243.9 143.63476     54.212202     0.234825    555 52266  48 1
 3199 J093433.95+030645.2 143.64147      3.1125462    0.297323    569 52264 134 1
 3200 J093434.87+261940.7 143.64528     26.327984     0.271937   2294 54524 445 2
 3201 J093441.85+034512.7 143.67436      3.7535146    0.0909009   569 52264 493 1
 3202 J093444.72+090352.8 143.68635      9.0646761    0.222293   1303 53050 102 1
 3203 J093448.13+532112.3 143.70055     53.353417     0.151195    768 52281 390 1
 3204 J093449.82+081851.8 143.70759      8.3143941    0.0477334  1303 53050  13 1
 3205 J093458.32+611234.3 143.74302     61.209524     0.244977    486 51910 237 1
 3206 J093459.12+591053.8 143.74634     59.181621     0.125504    452 51911 456 1
 3207 J093500.79+413519.7 143.75331     41.588815     0.235595    940 52670 260 1
 3208 J093501.32+562249.6 143.75552     56.380432     0.154844    556 51991 404 1
 3209 J093502.75+540509.0 143.76144     54.085831     0.129074    555 52266  15 1
 3210 J093504.85+105206.7 143.7702      10.868522     0.139217   1741 53052 161 1
 3211 J093506.81+145844.7 143.77839     14.979074     0.0831193  2579 54068 628 1
 3212 J093508.41+123517.6 143.78506     12.588222     0.200879   2580 54092 247 1
 3213 J093509.06+005728.5 143.78775      0.95791501   0.122897    476 52314 402 1
 3214 J093509.48+481910.2 143.78948     48.319503     0.223804    834 52316 361 1
 3215 J093512.66+121424.2 143.80274     12.240054     0.0662027  1741 53052 521 1
 3216 J093520.91+390134.4 143.83711     39.026217     0.24541    1215 52725 263 1
 3217 J093522.36+402114.5 143.84317     40.35403      0.196565   1215 52725 354 1
 3218 J093524.70+112016.8 143.85291     11.338013     0.237604   1741 53052 560 1
 3219 J093527.09+261709.7 143.86289     26.286029     0.122161   2294 54524 577 2
 3220 J093528.98+531156.7 143.87075     53.199091     0.161369    768 52281 439 1
 3221 J093530.54+314758.6 143.87727     31.799606     0.243065   1941 53386 638 1
 3222 J093531.04+584912.1 143.87935     58.820019     0.308719    452 51911 457 1
 3223 J093531.32+110810.6 143.8805      11.13627      0.180256   1741 53052 154 1
 3224 J093533.03+564424.5 143.88763     56.740147     0.136255    556 51991 352 1
 3225 J093536.97+083254.2 143.90405      8.5483939    0.176806   1304 52993 187 1
 3226 J093539.65-005004.2 143.91519     -0.83449732   0.344957    476 52314 129 1
 3227 J093540.02+100849.0 143.91677     10.14695      0.122353   1304 52993 396 1
 3228 J093542.77+323402.7 143.9282      32.567429     0.308822   1943 53386 414 1
 3229 J093545.07+320159.1 143.93778     32.033092     0.101488   1941 53386 632 2
 3230 J093551.03+535912.5 143.96261     53.986806     0.102762    555 52266   6 1
 3231 J093551.59+612111.5 143.96497     61.353203     0.0393339   486 51910 231 1
 3232 J093554.47+394650.4 143.97696     39.780658     0.337846   1215 52725 412 1
 3233 J093606.08+103808.5 144.02535     10.635703     0.2958     1741 53052  51 1
 3234 J093607.81+374247.8 144.03254     37.713275     0.147871   1275 52996 531 1
 3235 J093607.87+051034.4 144.03278      5.1762156    0.207456    992 52644  70 1
 3236 J093608.73+651054.9 144.03638     65.181907     0.191933   1788 54468 424 1
 3237 J093609.14-002639.7 144.03807     -0.44436502   0.141131    476 52314 166 1
 3238 J093612.25+514810.3 144.05103     51.802863     0.246369    768 52281 245 1
 3239 J093614.70+012105.9 144.06123      1.3516353    0.302702    477 52026 255 1
 3240 J093617.50+091814.7 144.0729       9.3040965    0.130014   1303 53050  76 1
 3241 J093620.50+250503.0 144.08542     25.084159     0.28498    2294 54524  66 2
 3242 J093621.18+164101.1 144.08823     16.683635     0.281781   2369 53733 249 1
 3243 J093621.51+392132.0 144.08962     39.358878     0.209979   1215 52725 209 1
 3244 J093622.32+391830.6 144.093       39.308495     0.227645   1215 52725 202 1
 3245 J093622.90+060613.7 144.09541      6.1038007    0.294823    992 52644 581 1
 3246 J093622.98+281536.4 144.09574     28.260116     0.18377    1944 53385 397 1
 3247 J093628.90+475451.4 144.1204      47.914284     0.0550313   834 52316 411 1
 3248 J093633.18+570727.2 144.13827     57.124227     0.208182    452 51911   7 1
 3249 J093638.70+132529.7 144.16124     13.424906     0.0906387  2580 54092 193 1
 3250 J093641.06+101415.9 144.17109     10.237739     0.0600558  1304 52993 428 1
 3251 J093641.64+280908.2 144.1735      28.152276     0.207873   1944 53385 239 1
 3252 J093643.14+505249.6 144.17974     50.880456     0.0553808   901 52641 410 1
 3253 J093644.63+595718.9 144.18595     59.955245     0.151375    486 51910 285 1
 3254 J093653.85+533126.9 144.22437     53.524146     0.228112    768 52281 473 1
 3255 J093655.07+042316.8 144.22947      4.3880071    0.162458    569 52264 566 1
 3256 J093657.98+085834.1 144.24159      8.9761325    0.16524    1303 53050  22 1
 3257 J093658.01+120601.4 144.24171     12.100392     0.139598   1741 53052 615 1
