#name     Ra     Dec
ECO10490 200.137 12.823  
ECO04030 200.148 34.139  
ECO11132 200.164 34.152  
ECO02898 200.176  4.424  
ECO09015 200.177 31.185  
ECO05143 200.190 15.259  
ECO09316 200.198 35.872  
ECO00833 200.199 13.634  
ECO06272 200.216 31.367  
ECO06273 200.223 32.191  
ECO04031 200.234  1.504  
ECO04034 200.236 14.156  
ECO11620 200.249 28.969  
ECO00834 200.252 35.778  
ECO06274 200.281  9.972  
ECO09069 200.291 31.946  
ECO04036 200.305 31.222  
ECO09067 200.313 31.930  
ECO04038 200.328 31.388  
ECO09297 200.332 35.580  
ECO04039 200.332 31.552  
ECO04035 200.346  0.342  
ECO00835 200.355 42.730  
ECO04037 200.357 14.730  
ECO09278 200.371 35.277  
ECO10836 200.377 11.104  
ECO00130 200.379  6.601  
ECO01123 200.379  0.966  
ECO01536 200.395 33.490  
ECO06275 200.396 26.305  
ECO04040 200.400 15.322  
ECO04042 200.400 42.283  
ECO10158 200.400  0.573  
ECO04041 200.419 31.351  
ECO04043 200.440 31.237  
ECO09041 200.457 31.563  
ECO00724 200.464 18.879  
ECO04047 200.479 35.360  
ECO11766 200.481 14.333  
ECO01965 200.486 24.729  
ECO02727 200.489 16.466  
ECO06785 200.489 35.638  
ECO09081 200.491 32.100  
ECO04046 200.497 26.734  
ECO08629 200.502 26.520  
ECO04048 200.512 35.514  
ECO04045 200.522  6.115  
ECO06276 200.523 10.708  
ECO01966 200.527 24.720  
ECO06787 200.533 35.393  
ECO01024 200.560 26.879  
ECO11133 200.564 26.918  
ECO02347 200.565 21.078  
ECO11397 200.575 13.967  
ECO07466 200.581  2.421  
ECO02634 200.585 20.337  
ECO08704 200.596 27.183  
ECO01537 200.597 27.581  
ECO04049 200.610 21.426  
ECO09060 200.615 31.837  
ECO04050 200.629 21.316  
ECO01538 200.652 30.317  
ECO02283 200.655 21.312  
ECO07215 200.661 -0.282  
ECO01967 200.680 21.749  
ECO08705 200.680 27.198  
ECO06277 200.687 17.662  
ECO00556 200.688 30.887  
ECO07531 200.702  3.118  
ECO11334 200.703 31.324  
ECO06278 200.709 19.691  
ECO04051 200.713 31.826  
ECO08725 200.716 27.394  
ECO10837 200.720  4.498  
ECO04053 200.732 26.981  
ECO08072 200.743 14.844  
ECO04052 200.752 13.951  
ECO04054 200.754 23.307  
ECO01539 200.759 33.060  
ECO01540 200.762 40.126  
ECO11134 200.771 26.855  
ECO02732 200.811 16.397  
ECO00726 200.818 19.642  
ECO02286 200.819 21.302  
ECO06279 200.834 32.063  
ECO00521 200.834  3.720  
ECO06280 200.853 26.544  
