#name     Ra     Dec
ECO01817 182.491 19.355  
ECO05882 182.492 19.919  
ECO11063 182.500 31.708  
ECO01818 182.502 17.620  
ECO09784 182.504 44.660  
ECO05883 182.505 14.616  
ECO11064 182.506 29.365  
ECO02413 182.509 23.854  
ECO03397 182.510 38.740  
ECO00654 182.512 38.761  
ECO05884 182.520 42.289  
ECO01819 182.521 25.308  
ECO03398 182.523 43.443  
ECO02227 182.525 25.644  
ECO02569 182.532 19.161  
ECO09911 182.533 47.981  
ECO03399 182.533 35.877  
ECO08618 182.542 26.424  
ECO07306 182.551  0.754  
ECO11734 182.558 13.188  
ECO03400 182.561 25.309  
ECO05885 182.561 23.888  
ECO05888 182.569  0.627  
ECO12414 182.569 39.305  
ECO02389 182.571 22.489  
ECO09374 182.574 36.725  
ECO00599 182.575 39.511  
ECO03401 182.576 26.431  
ECO01820 182.579 20.089  
ECO09040 182.579 31.550  
ECO02414 182.589 23.812  
ECO05146 182.590 13.208  
ECO12139 182.611 35.921  
ECO12525 182.616 22.270  
ECO08606 182.623 26.253  
ECO07300 182.630  0.673  
ECO05889 182.630 40.417  
ECO00488 182.635 44.601  
ECO03402 182.636  0.677  
ECO12668 182.637 17.868  
ECO09722 182.638 43.436  
ECO01234 182.641  0.672  
ECO03403 182.643 25.427  
ECO03404 182.645 25.928  
ECO09055 182.646 31.727  
ECO07041 182.647  1.029  
ECO07340 182.655  1.065  
ECO03405 182.658 17.870  
ECO12666 182.673 17.863  
ECO03406 182.674 13.331  
ECO05890 182.675 17.888  
ECO07123 182.677 13.313  
ECO05891 182.682 38.729  
ECO09447 182.682 37.714  
ECO03408 182.684 38.336  
ECO07291 182.685  0.626  
ECO10802 182.687 44.492  
ECO05893 182.688 25.844  
ECO05892 182.689 23.710  
ECO05894 182.690 15.865  
ECO03409 182.690 19.041  
ECO12039 182.699 38.344  
ECO09558 182.705 39.507  
ECO03411 182.705 44.513  
ECO02471 182.706 25.583  
ECO03410 182.706 39.473  
ECO12500 182.708 23.714  
ECO07286 182.710  0.596  
ECO03412 182.715 36.624  
ECO12034 182.720 36.689  
ECO11065 182.721 31.724  
ECO09364 182.722 36.546  
ECO02226 182.726 25.253  
ECO06717 182.729 32.929  
ECO03413 182.735 31.657  
ECO05896 182.745 43.249  
ECO09076 182.749 31.987  
ECO01821 182.751 23.675  
