#name     Ra     Dec
ECO08127 178.220 17.601  
ECO01759 178.224 20.591  
ECO11046 178.225 16.809  
ECO05774 178.229 23.111  
ECO03147 178.236 20.479  
ECO02612 178.237 20.443  
ECO01394 178.243 14.524  
ECO08359 178.254 23.040  
ECO01126 178.257  5.354  
ECO05775 178.258 24.830  
ECO03148 178.271 26.207  
ECO02856 178.272 20.583  
ECO03149 178.279 35.023  
ECO02628 178.285 20.735  
ECO11448 178.286 30.187  
ECO02857 178.286 20.648  
ECO02613 178.295 20.443  
ECO03150 178.296 20.659  
ECO00162 178.302 15.114  
ECO00136 178.314 11.634  
ECO02858 178.317 20.631  
ECO03151 178.321 23.464  
ECO12045 178.322 38.304  
ECO02833 178.326 20.107  
ECO01335 178.329 25.990  
ECO03152 178.335 20.752  
ECO03155 178.336 21.021  
ECO09790 178.344 44.920  
ECO05776 178.349 17.373  
ECO11946 178.356 14.675  
ECO08100 178.359 15.608  
ECO07117 178.360 10.896  
ECO08086 178.363 15.308  
ECO07058 178.366 20.694  
ECO08536 178.369 25.546  
ECO07059 178.369 20.486  
ECO02862 178.380 20.591  
ECO02614 178.380 20.340  
ECO03156 178.390 10.878  
ECO10894 178.405 45.236  
ECO01395 178.407 16.012  
ECO08138 178.409 18.316  
ECO01189 178.415  5.906  
ECO05777 178.415 38.464  
ECO03157 178.416 43.461  
ECO08398 178.417 23.639  
ECO00749 178.417 20.787  
ECO01760 178.418 23.169  
ECO01190 178.420 25.271  
ECO08440 178.420 24.413  
ECO03159 178.422 23.382  
ECO03161 178.424 20.882  
ECO03158 178.424 46.212  
ECO03160 178.425 35.169  
ECO03162 178.435 15.186  
ECO03163 178.443 10.403  
ECO09719 178.446 43.416  
ECO11943 178.447 13.729  
ECO08272 178.458 21.219  
ECO01761 178.460 20.452  
ECO03164 178.461 33.366  
ECO05780 178.475 13.278  
ECO02335 178.476 21.250  
ECO12335 178.476  6.330  
ECO05781 178.476 20.749  
ECO07118 178.483 20.551  
ECO07878 178.488 10.312  
ECO03166 178.490 25.685  
ECO07712 178.495  5.921  
ECO11517 178.496 13.148  
ECO12326 178.497 12.199  
ECO03167 178.499 20.573  
ECO03169 178.504  6.343  
ECO05154 178.505 13.577  
ECO03168 178.506 44.643  
ECO07376 178.509  1.549  
ECO08539 178.528 25.567  
ECO00595 178.528 37.361  
ECO02863 178.533 20.609  
ECO11434 178.535 18.528  
ECO02629 178.543 20.747  
ECO08482 178.549 25.035  
ECO05782 178.558 20.028  
ECO08433 178.559 24.263  
ECO01396 178.560 35.706  
ECO09710 178.566 43.227  
ECO09310 178.571 35.807  
ECO05783 178.574 32.861  
ECO03170 178.584 16.242  
ECO01397 178.596 35.742  
ECO05784 178.605 20.785  
ECO00543 178.622 28.765  
ECO00111 178.622 25.150  
ECO05139 178.622 42.980  
ECO08413 178.646 23.881  
ECO08410 178.651 23.863  
ECO05785 178.665 25.942  
ECO11251 178.665 25.944  
ECO08549 178.675 25.614  
ECO11047 178.677 27.756  
ECO02315 178.680 23.160  
ECO01762 178.682 20.536  
