#name     Ra     Dec
ECO05337 145.132 47.510  
ECO11612 145.133 28.969  
ECO05196 145.152  3.577  
ECO01211 145.152 10.837  
ECO07886 145.158 10.585  
ECO05185 145.174 11.888  
ECO01139 145.178 12.094  
ECO05174 145.185 21.234  
ECO10399 145.187 10.110  
ECO10980 145.190 17.934  
ECO10735 145.202 36.456  
ECO05207 145.206 11.550  
ECO05338 145.218 30.939  
ECO11741 145.223 31.745  
ECO00597 145.229 32.356  
ECO05163 145.242 47.621  
ECO08264 145.242 21.130  
ECO10400 145.247 11.671  
ECO07950 145.249 12.031  
ECO10401 145.255 10.945  
ECO08250 145.257 20.789  
ECO11733 145.279 11.506  
ECO05339 145.280 10.314  
ECO00318 145.288 19.646  
ECO05230 145.315 32.153  
ECO00375 145.316 35.975  
ECO05072 145.316  1.524  
ECO05218 145.319 35.882  
ECO05241 145.319 10.647  
ECO05342 145.333 11.219  
ECO05252 145.381 10.641  
ECO05263 145.384 11.413  
ECO10403 145.398 12.199  
ECO05274 145.399 11.470  
ECO07078 145.413 11.474  
ECO08227 145.422 20.427  
ECO05343 145.431 40.466  
ECO10404 145.442 11.889  
ECO05285 145.445 11.482  
ECO05344 145.462 12.184  
ECO05345 145.466 48.671  
ECO00322 145.475 11.654  
ECO01218 145.475 11.632  
ECO05348 145.480  1.319  
ECO05347 145.483 32.343  
ECO05307 145.487 12.296  
ECO09032 145.490 31.423  
ECO05346 145.502 19.418  
ECO05296 145.520 23.685  
ECO09102 145.529 32.455  
ECO08349 145.538 22.824  
ECO00477 145.539 40.219  
ECO01732 145.551 32.317  
ECO07955 145.575 12.217  
ECO00038 145.590  5.996  
ECO01744 145.596 21.315  
ECO01225 145.597 23.627  
ECO05318 145.597 36.350  
ECO02139 145.597 14.630  
ECO00005 145.612 10.219  
ECO05329 145.614  3.347  
ECO07734 145.617  6.710  
ECO01755 145.617  6.210  
ECO00607 145.626 33.849  
ECO05349 145.631  7.099  
ECO01233 145.645 36.245  
ECO05093 145.648 -0.772  
ECO01764 145.658  1.300  
ECO00243 145.678  9.456  
ECO05363 145.722  9.492  
ECO07733 145.723  6.644  
ECO06621 145.724 42.793  
ECO05350 145.725 36.214  
ECO05352 145.727 12.386  
ECO07961 145.736 12.359  
ECO02090 145.747  7.285  
ECO12087 145.750 31.782  
ECO01048 145.758  9.252  
ECO05341 145.759 37.823  
ECO01236 145.764 11.080  
ECO09918 145.768 48.087  
ECO05351 145.773 22.776  
ECO07260 145.775  0.320  
ECO05395 145.782  3.430  
ECO07595 145.786  3.940  
ECO05385 145.786 21.183  
ECO02744 145.786 13.399  
ECO11427 145.798 17.688  
ECO05405 145.800  0.414  
ECO09334 145.814 36.231  
ECO09338 145.814 36.286  
ECO01158 145.818 36.230  
ECO09561 145.822 39.539  
ECO07007 145.822 39.546  
ECO07264 145.827  0.373  
ECO05374 145.830 36.248  
ECO09335 145.831 36.237  
ECO05353 145.851 31.706  
ECO05354 145.860 36.237  
ECO06622 145.861 42.187  
ECO05450 145.874  9.421  
ECO10301 145.879  7.042  
ECO05483 145.918 11.061  
ECO05427 145.942 36.179  
ECO09772 145.945 44.316  
ECO07080 145.945 11.046  
ECO05416 145.948 42.474  
ECO00478 145.958 34.991  
ECO05505 145.963  9.655  
ECO05355 145.969 42.656  
ECO05438 145.987 42.673  
ECO05461 145.989 41.687  
ECO05526 145.990  2.852  
ECO05472 145.997 42.433  
ECO05356 145.997 42.633  
ECO05516 146.010 10.988  
ECO07917 146.013 11.064  
ECO05358 146.013 29.610  
ECO06623 146.017 36.309  
ECO05494 146.022 34.695  
ECO05357 146.031 42.431  
ECO10405 146.036 11.254  
ECO05359 146.039  3.404  
ECO05548 146.043  2.410  
ECO10095 146.081  9.985  
ECO06624 146.087 42.619  
ECO05560 146.098 11.231  
ECO09237 146.108 34.702  
ECO05537 146.130 32.813  
ECO07597 146.143  4.001  
ECO05360 146.158 26.190  
ECO05582 146.163 -0.222  
ECO09521 146.168 38.852  
ECO01650 146.194 13.540  
ECO09666 146.207 42.294  
ECO02893 146.212  4.581  
ECO09670 146.213 42.426  
ECO10406 146.216 36.231  
ECO01011 146.217 42.713  
ECO05571 146.218 37.604  
ECO09341 146.218 36.291  
ECO07476 146.226  2.466  
ECO05361 146.232  0.068  
ECO05604 146.238 16.708  
ECO06625 146.243 36.822  
ECO09990 146.273 45.587  
ECO07738 146.274  6.909  
ECO00430 146.283  0.064  
ECO08340 146.283 22.718  
ECO09307 146.293 35.778  
ECO05593 146.297 36.534  
ECO10155 146.301  0.036  
ECO10981 146.305 21.981  
ECO05362 146.306 39.438  
ECO05635 146.310  9.110  
ECO10303 146.311 42.445  
ECO10152 146.323 -0.030  
ECO05624 146.324 20.891  
ECO12585 146.324 16.718  
ECO08296 146.331 21.558  
ECO05613 146.333 36.157  
ECO05364 146.342 23.071  
ECO05646 146.344  9.767  
ECO01770 146.346 28.772  
ECO01780 146.347 38.396  
ECO08295 146.352 21.555  
ECO09691 146.358 42.806  
ECO05669 146.372  9.603  
ECO05691 146.376  6.377  
ECO10983 146.383 21.404  
ECO10112 146.398  4.411  
ECO00574 146.400 21.465  
ECO00363 146.408 33.247  
ECO06626 146.415 36.000  
ECO09136 146.415 33.188  
ECO09333 146.415 36.194  
ECO05680 146.422 23.674  
ECO05724 146.423  4.942  
ECO05365 146.423 37.451  
ECO08877 146.427 28.913  
ECO05657 146.439 33.871  
ECO05366 146.458 28.473  
ECO00040 146.460  8.910  
ECO05702 146.467 34.686  
ECO10304 146.492  5.252  
ECO05745 146.495  3.145  
ECO05367 146.498 21.622  
ECO07535 146.510  3.134  
ECO05756 146.515  4.403  
ECO10984 146.516 22.939  
ECO09185 146.533 33.691  
ECO10736 146.540 35.962  
ECO09450 146.550 37.772  
ECO09242 146.551 34.776  
ECO05713 146.561 47.134  
ECO05767 146.572  5.709  
ECO02146 146.575 13.746  
ECO05368 146.584 34.796  
ECO05809 146.585  3.045  
ECO05790 146.585  5.692  
ECO05820 146.588  3.071  
ECO05779 146.594  9.165  
ECO00526 146.596 23.669  
ECO05098 146.611  0.693  
ECO05735 146.619 45.752  
ECO01039 146.621 13.433  
ECO05369 146.625 25.541  
ECO01791 146.627 22.133  
ECO11547 146.629 36.037  
ECO10561 146.629 22.053  
ECO05831 146.630 15.886  
ECO10063 146.639 22.365  
ECO05842 146.649 21.750  
ECO05370 146.657 24.131  
ECO05853 146.660 13.659  
ECO09324 146.661 35.995  
ECO06627 146.663 45.436  
ECO02127 146.665 15.277  
ECO00201 146.671 14.198  
ECO05887 146.689 13.773  
ECO02147 146.689 13.783  
ECO05920 146.690  9.265  
ECO05898 146.692 13.530  
ECO09054 146.701 31.719  
ECO05939 146.704  9.736  
ECO10985 146.706 17.038  
ECO05909 146.706 16.043  
ECO08783 146.708 28.077  
ECO05875 146.708 22.014  
ECO11868 146.725 23.023  
ECO02749 146.727 16.067  
ECO02148 146.743 13.755  
ECO05371 146.750 21.730  
ECO05961 146.750  2.561  
ECO01802 146.751 22.054  
ECO08565 146.753 25.789  
ECO00624 146.759 30.989  
ECO00921 146.764 46.812  
ECO11358 146.766 22.996  
ECO05864 146.768 42.521  
ECO10305 146.774  5.033  
ECO01240 146.789  3.356  
ECO00373 146.795 35.631  
ECO08387 146.798 23.516  
ECO05372 146.807  0.665  
ECO09393 146.814 37.052  
ECO10986 146.816 22.602  
ECO05972 146.817 22.090  
ECO09349 146.820 36.414  
ECO05373 146.828 23.004  
ECO05931 146.834 46.610  
ECO12586 146.837 15.804  
ECO11885 146.840 25.746  
ECO05097 146.842  0.741  
ECO05950 146.845 34.784  
ECO11249 146.850 20.241  
ECO01241 146.857 -0.274  
ECO02153 146.872 14.213  
ECO09926 146.882 48.253  
ECO05375 146.882 30.398  
ECO11357 146.888 21.731  
ECO08431 146.888 24.248  
ECO00619 146.893 30.413  
ECO01040 146.896  6.814  
ECO11718 146.899 23.907  
ECO00302 146.901  3.284  
ECO06628 146.904 44.366  
ECO10229 146.911  4.822  
ECO00372 146.918 34.947  
ECO05376 146.919 21.638  
ECO05982 146.922 35.060  
ECO11730 146.925  9.161  
ECO05377 146.934 21.669  
ECO00723 146.951 10.870  
ECO05994 146.955 23.722  
ECO06005 146.960 15.852  
ECO10970 146.965  8.835  
ECO05378 146.965 30.346  
ECO06015 146.965  8.831  
ECO08468 146.973 24.828  
ECO06629 146.979 45.469  
ECO02149 146.989 13.826  
ECO12050 146.991 32.992  
ECO08311 146.998 21.953  
ECO00500 147.012 26.660  
ECO05379 147.012 21.631  
ECO07701 147.013  5.733  
ECO07482 147.040  2.529  
ECO05380 147.041  2.539  
ECO01242 147.064  9.178  
ECO06037 147.068  3.906  
ECO10951 147.072  9.179  
ECO01813 147.088 24.018  
ECO07830 147.093  9.250  
ECO09378 147.093 36.771  
ECO10042 147.094 30.374  
ECO08397 147.094 23.630  
ECO05381 147.121 30.129  
ECO02141 147.144 14.899  
ECO06059 147.171  3.375  
ECO06026 147.182 44.081  
ECO07252 147.193  0.272  
ECO01823 147.194 21.985  
ECO06630 147.212 37.209  
ECO11787 147.238 33.043  
ECO06887 147.246  1.138  
ECO06092 147.249  2.462  
ECO06081 147.253  4.303  
ECO11722 147.270 13.880  
ECO00583 147.275  9.088  
ECO00236 147.277 44.048  
ECO06116 147.287  2.481  
ECO05090 147.306  0.218  
ECO06888 147.306  1.178  
ECO05382 147.307 35.043  
ECO06048 147.310 45.602  
ECO01834 147.310  3.785  
ECO11661 147.312 44.131  
ECO00383 147.318 38.355  
ECO10108 147.325  5.566  
ECO05383 147.326 43.352  
ECO01243 147.327 44.026  
ECO05384 147.327 35.179  
ECO06070 147.338 43.917  
ECO06160 147.345  1.145  
ECO09775 147.355 44.339  
ECO06127 147.357 21.679  
ECO06138 147.358 14.658  
ECO06182 147.361  4.003  
ECO07173 147.375 -0.859  
ECO11426 147.375 20.204  
ECO00705 147.387 17.257  
ECO02137 147.389 14.203  
ECO06105 147.392 44.102  
ECO06193 147.404  9.005  
ECO02143 147.409 14.776  
ECO01651 147.421 15.983  
ECO10903 147.429 44.447  
ECO09270 147.430 35.186  
ECO08283 147.433 21.341  
ECO05386 147.440 39.017  
ECO11941 147.458 38.846  
ECO05387 147.469  9.161  
ECO06215 147.470  9.096  
ECO06171 147.471 38.907  
ECO06226 147.478  9.163  
ECO06149 147.492 46.338  
ECO01846 147.493  5.520  
ECO09428 147.503 37.575  
ECO01244 147.503 30.061  
ECO01245 147.517 31.745  
ECO07411 147.521  1.925  
ECO05388 147.542 34.415  
ECO06203 147.546 44.295  
ECO10407 147.547 11.308  
ECO06248 147.547 16.287  
ECO07611 147.560  4.199  
ECO10904 147.563  9.735  
ECO10408 147.584 36.080  
ECO01246 147.586 43.146  
ECO10953 147.592  7.905  
ECO06632 147.605 44.257  
ECO09763 147.605 44.041  
ECO06270 147.608  1.582  
ECO09778 147.623 44.463  
ECO11902 147.638 44.314  
ECO09213 147.639 34.099  
ECO05389 147.640 35.765  
ECO07566 147.643  3.541  
ECO06237 147.644 44.324  
ECO06259 147.655 43.759  
ECO05390 147.664 44.331  
ECO09910 147.669 47.966  
ECO07663 147.681  4.951  
ECO09377 147.691 36.745  
ECO05391 147.717 38.479  
ECO05392 147.722 36.445  
ECO09486 147.723 38.492  
ECO07036 147.740  0.863  
ECO01247 147.745 35.209  
ECO05095 147.745 10.802  
ECO05393 147.746  4.273  
ECO05394 147.752 30.604  
ECO06281 147.759 30.584  
ECO06302 147.775  9.009  
ECO09761 147.802 44.009  
ECO01855 147.817 33.724  
ECO10905 147.817 47.612  
ECO07822 147.827  9.139  
ECO01248 147.835  0.900  
ECO01249 147.836 31.980  
ECO01866 147.854  1.920  
ECO06291 147.855 44.924  
ECO07414 147.860  1.931  
ECO06325 147.865  7.264  
ECO06313 147.887 23.810  
ECO05396 147.896  1.112  
ECO07037 147.897  0.435  
ECO00448 147.913 44.319  
ECO00094 147.919 14.038  
ECO08355 147.928 22.932  
ECO01250 147.948  3.123  
ECO08248 147.964 20.782  
ECO06633 147.966 36.897  
ECO10562 147.969 24.772  
ECO06346 147.974 14.932  
ECO06634 147.991 43.414  
ECO07338 147.999  1.046  
ECO06357 148.016 19.651  
ECO06336 148.017 40.858  
ECO06368 148.048  1.095  
ECO00407 148.057 43.864  
ECO07081 148.104  2.181  
ECO00237 148.115 32.469  
ECO05397 148.117 42.819  
ECO06401 148.123  2.154  
ECO01877 148.134 26.232  
ECO10987 148.156 19.473  
ECO08488 148.169 25.090  
ECO06765 148.176 42.878  
ECO01887 148.185 19.566  
ECO00342 148.189 30.033  
ECO00922 148.210 15.826  
ECO08163 148.219 19.444  
ECO08242 148.225 20.670  
ECO06390 148.226 42.848  
ECO06379 148.234 46.929  
ECO06412 148.246 19.632  
ECO07065 148.264 19.442  
ECO08161 148.271 19.414  
ECO02753 148.277 13.948  
ECO09034 148.286 31.438  
ECO05398 148.290 27.622  
ECO05399 148.293 37.759  
ECO06434 148.313 11.248  
ECO05400 148.321  1.978  
ECO06423 148.326 36.086  
ECO07952 148.329 12.038  
ECO10988 148.330 24.774  
ECO06445 148.334  0.698  
ECO07082 148.335  0.721  
ECO11633 148.336 42.845  
ECO10563 148.343 20.449  
ECO06456 148.358  7.865  
ECO10989 148.398 21.181  
ECO01095 148.412 29.444  
ECO06478 148.432  2.374  
ECO08287 148.434 21.385  
ECO08170 148.434 19.593  
ECO01252 148.441  0.787  
ECO07279 148.444  0.494  
ECO11854 148.463  8.878  
ECO06489 148.464 13.615  
ECO07741 148.481  7.047  
ECO06467 148.485 23.383  
ECO10306 148.503 43.045  
ECO00578 148.539 28.105  
ECO06522 148.545  2.287  
ECO09442 148.552 37.690  
ECO05402 148.556 36.536  
ECO05401 148.561 37.299  
