#name     Ra     Dec
ECO07541 205.641  3.198  
ECO04260 205.643 35.020  
ECO00050 205.644  4.529  
ECO12381 205.675  7.516  
ECO00303 205.678  3.302  
ECO09260 205.685 35.063  
ECO02278 205.692 20.231  
ECO02001 205.696 16.657  
ECO01584 205.714 34.049  
ECO00175 205.741 11.957  
ECO06394 205.742  3.254  
ECO05178 205.753 36.166  
ECO04261 205.766 16.705  
ECO00151 205.795  7.767  
ECO09962 205.805 36.749  
ECO07389 205.823  1.730  
ECO11172 205.826 14.345  
ECO11995 205.829  7.672  
ECO06395 205.831  1.322  
ECO06396 205.841  0.629  
ECO08077 205.875 15.051  
ECO04262 205.917  3.896  
ECO08001 205.919 13.385  
ECO04263 205.938  3.889  
ECO11753 205.961 13.250  
ECO07645 206.002  4.734  
ECO00982 206.004 17.740  
ECO10942 206.008  4.048  
ECO09399 206.019 37.217  
ECO04265 206.020  3.906  
ECO07522 206.021  3.051  
ECO10082 206.062 13.872  
ECO07702 206.070  5.738  
ECO04266 206.097  5.793  
ECO06397 206.104  5.125  
ECO10858 206.113 11.517  
ECO12369 206.126  7.623  
ECO07789 206.130  8.271  
ECO04267 206.141  4.776  
ECO00401 206.145 42.170  
ECO06398 206.156  5.852  
ECO01585 206.168  5.112  
ECO11389 206.171 14.047  
ECO06399 206.173  4.942  
ECO02002 206.186 16.706  
ECO06400 206.186 15.524  
ECO10175 206.196  2.625  
ECO09292 206.203 35.495  
ECO04268 206.210  4.024  
ECO02356 206.235 20.277  
ECO00219 206.255 15.968  
ECO09282 206.265 35.348  
ECO04271 206.286 41.504  
ECO02003 206.286 19.079  
ECO04270 206.293 35.219  
ECO02665 206.300 16.418  
ECO04269 206.313 19.579  
ECO07202 206.314 -0.528  
ECO07677 206.317  5.157  
ECO07688 206.321  5.375  
ECO00855 206.324 27.121  
ECO12580 206.325 19.558  
ECO04273 206.329 41.713  
ECO02639 206.334 16.353  
ECO09291 206.336 35.474  
ECO07790 206.344  8.274  
ECO07796 206.366  8.389  
ECO04272 206.373 16.304  
ECO01586 206.390 35.721  
ECO04276 206.396 35.611  
ECO04275 206.438  7.515  
ECO09303 206.445 35.703  
ECO02004 206.505  6.145  
ECO09293 206.516 35.520  
ECO00051 206.528 12.038  
ECO12071 206.552 36.427  
ECO10266 206.553  3.506  
ECO00288 206.600  1.579  
ECO02005 206.611 18.795  
ECO06402 206.616 39.678  
ECO00560 206.622 30.405  
ECO06403 206.623  3.878  
ECO04277 206.635 20.847  
ECO01588 206.640 35.960  
ECO09436 206.658 37.633  
ECO01199 206.669 27.244  
ECO10265 206.676  3.460  
ECO04280 206.706 14.401  
ECO04281 206.712 14.416  
ECO04279 206.714  7.390  
ECO04278 206.716  3.748  
ECO00220 206.719 15.969  
ECO04282 206.720 16.273  
ECO07576 206.725  3.661  
ECO06404 206.747 35.306  
ECO04287 206.755 33.894  
ECO12365 206.758  7.441  
ECO04283 206.768 11.106  
ECO04289 206.780 33.882  
ECO07572 206.780  3.622  
ECO06406 206.781  1.913  
ECO04285 206.788  3.644  
ECO06405 206.795 34.089  
ECO00148 206.809  6.913  
ECO07536 206.811  3.139  
ECO00118 206.819 13.298  
ECO04290 206.824 34.149  
ECO04286 206.827  3.767  
ECO04288 206.838  7.585  
ECO04291 206.842 30.334  
ECO01027 206.882  4.097  
ECO11338 206.885 14.266  
ECO06407 206.891 40.351  
ECO01016 206.904 38.921  
ECO01589 206.904 36.785  
ECO00482 206.906 26.486  
ECO04292 206.910  3.334  
ECO07552 206.925  3.366  
ECO01590 206.929 32.115  
