#name     Ra     Dec
ECO00997 213.202 17.498  
ECO12633 213.204 15.737  
ECO07373 213.205  1.489  
ECO04583 213.244  9.921  
ECO07798 213.251  8.501  
ECO02304 213.269 20.401  
ECO04584 213.273  8.632  
ECO04586 213.285  8.619  
ECO04589 213.286 20.416  
ECO09577 213.293 39.866  
ECO04588 213.298 13.004  
ECO02305 213.306 20.424  
ECO02325 213.317 21.126  
ECO04592 213.318 27.008  
ECO01610 213.323  2.367  
ECO04590 213.333  8.851  
ECO11218 213.345  8.963  
ECO04591 213.364  8.981  
ECO11219 213.366  8.950  
ECO06484 213.390 39.885  
ECO10871 213.404 37.528  
ECO11978 213.408  7.660  
ECO02408 213.416 20.932  
ECO04593 213.425 12.504  
ECO06485 213.425  8.222  
ECO04594 213.441  8.219  
ECO01070 213.444  8.221  
ECO04596 213.449 20.848  
ECO04598 213.455 37.269  
ECO07885 213.458 10.539  
ECO04597 213.473 15.510  
ECO00747 213.486 17.884  
ECO07783 213.521  8.127  
ECO02380 213.532 20.025  
ECO04599 213.556 15.623  
ECO07534 213.560  3.131  
ECO06486 213.562 35.424  
ECO11220 213.562  9.987  
ECO07516 213.566  2.951  
ECO07893 213.576 10.678  
ECO04600 213.587  7.516  
ECO00720 213.594 20.534  
ECO00467 213.610 26.082  
ECO04601 213.614 15.612  
ECO06878 213.618 35.533  
ECO07721 213.627  6.165  
ECO02507 213.635 17.983  
ECO00340 213.652 29.714  
ECO11221 213.654 10.773  
ECO11384 213.667  8.069  
ECO12015 213.671 13.378  
ECO12637 213.672 15.513  
ECO10201 213.674  4.751  
ECO04602 213.710 15.147  
ECO01611 213.712 11.841  
ECO04603 213.717 14.126  
ECO07801 213.737  8.596  
ECO02190 213.738 21.708  
ECO07982 213.743 12.936  
ECO06793 213.755 26.717  
ECO07726 213.768  6.224  
ECO06487 213.783  3.113  
ECO04611 213.784 45.595  
ECO11377 213.784 10.598  
ECO00259 213.788 49.342  
ECO04607 213.799 15.742  
ECO04604 213.800  4.872  
ECO04605 213.802  4.824  
ECO04608 213.807 15.878  
ECO04610 213.813 18.128  
ECO11222 213.815  7.617  
ECO00866 213.830 36.202  
ECO12017 213.845 14.251  
ECO04609 213.849  4.408  
ECO06488 213.850  8.011  
ECO10204 213.855  4.934  
ECO04613 213.892 36.227  
ECO04614 213.910 36.375  
ECO04612 213.914 14.283  
ECO07770 213.926  7.782  
ECO12628 213.934 14.325  
ECO06490 213.941 40.105  
ECO11439 213.958 10.254  
ECO00867 213.960 10.961  
ECO09427 213.987 37.573  
ECO02319 213.990 20.746  
ECO11454 213.992  6.656  
ECO10872 214.003  3.420  
ECO04618 214.032 35.344  
ECO01118 214.053 13.455  
ECO04616 214.060 25.546  
ECO07900 214.072 10.749  
ECO01612 214.076  8.476  
ECO04615 214.083  8.293  
ECO07730 214.092  6.310  
ECO04619 214.099 39.502  
ECO10667 214.121 10.887  
ECO10100 214.129 10.633  
ECO07909 214.149 10.896  
ECO06709 214.158 40.216  
ECO07903 214.158 10.792  
ECO09980 214.158  5.110  
ECO11223 214.175 10.705  
ECO00098 214.188 10.970  
ECO04621 214.197 23.002  
ECO07786 214.206  8.260  
ECO11225 214.213 11.406  
ECO06491 214.214 32.803  
ECO04620 214.221 10.807  
ECO07158 214.223 10.798  
ECO07897 214.226 10.720  
ECO00868 214.231 29.486  
ECO11226 214.243 10.760  
ECO04622 214.249  9.106  
ECO11227 214.250 11.121  
ECO10094 214.257 10.791  
ECO04623 214.260 36.571  
ECO07899 214.262 10.733  
ECO05162 214.263 36.490  
ECO04624 214.272 36.576  
ECO09950 214.275 49.579  
ECO00869 214.284 13.685  
ECO08388 214.286 23.530  
ECO10101 214.300 10.612  
ECO09342 214.300 36.306  
ECO10032 214.311 32.815  
ECO08538 214.315 25.565  
ECO07777 214.316  8.030  
ECO07905 214.317 10.831  
ECO07923 214.323 11.261  
ECO06724 214.328 12.585  
ECO11228 214.338 11.205  
ECO07754 214.348  7.484  
ECO08493 214.391 25.115  
ECO04625 214.392  1.812  
ECO04628 214.415 12.959  
ECO10669 214.424 10.764  
ECO04627 214.427  7.477  
ECO07898 214.434 10.732  
ECO06794 214.439  7.424  
ECO07756 214.443  7.526  
ECO07760 214.448  7.577  
ECO11435 214.450  8.216  
ECO00364 214.456 33.555  
ECO01613 214.465  6.708  
ECO10670 214.481 10.597  
ECO12442 214.481 21.926  
ECO07764 214.489  7.672  
ECO04632 214.495 26.413  
ECO00683 214.498 16.736  
ECO04631 214.498 25.137  
ECO04629 214.517  7.655  
ECO11921 214.525  7.541  
ECO07696 214.533  5.564  
ECO04630 214.538  7.564  
ECO04633 214.560  7.338  
ECO07761 214.566  7.601  
ECO09385 214.568 36.884  
ECO04635 214.570 31.654  
ECO07766 214.590  7.688  
ECO04634 214.594 11.195  
ECO07937 214.597 11.623  
ECO02371 214.600 19.576  
ECO07772 214.601  7.885  
ECO06492 214.606 25.502  
ECO07750 214.607  7.256  
ECO04638 214.607 36.494  
ECO00105 214.619 26.496  
ECO01614 214.620  7.217  
ECO04637 214.624 26.288  
ECO07759 214.636  7.567  
ECO07757 214.647  7.542  
ECO07975 214.651 12.769  
ECO01615 214.659  2.046  
ECO07159 214.677 24.922  
ECO04639 214.680 21.817  
ECO10539 214.683 40.389  
ECO01617 214.697  6.747  
ECO07700 214.698  5.666  
ECO04640 214.699 24.940  
ECO00667 214.710 21.488  
ECO11880 214.712 11.289  
ECO11913 214.712  5.471  
ECO12445 214.715 21.967  
ECO00159 214.728 13.814  
ECO01071 214.729  5.451  
ECO06493 214.756 24.944  
ECO06494 214.769 17.751  
ECO02206 214.782 22.771  
ECO06809 214.782  5.384  
ECO04641 214.803 24.799  
ECO06495 214.809 36.359  
ECO01618 214.821 47.478  
ECO11726 214.827 37.022  
ECO12593 214.839 17.945  
ECO04642 214.876  7.456  
ECO04643 214.886 17.876  
ECO01619 214.902  5.619  
ECO04644 214.903 17.644  
ECO06496 214.904 38.234  
ECO04648 214.917 19.944  
ECO04647 214.918 17.855  
ECO10107 214.918  7.538  
ECO04645 214.927 11.625  
ECO12579 214.965 17.837  
ECO06497 214.976 33.424  
ECO11994 214.978  6.812  
ECO06498 214.991 11.962  
ECO06499 215.008 35.654  
ECO01620 215.047  9.123  
ECO04649 215.055  7.056  
ECO01621 215.062 34.709  
ECO04650 215.100 17.760  
ECO04653 215.111 35.188  
ECO12617 215.115 18.413  
ECO04652 215.158 20.445  
ECO04651 215.173  6.907  
ECO06725 215.179 13.696  
ECO04654 215.192 21.936  
ECO00150 215.196  6.735  
ECO06501 215.204 25.959  
ECO11814 215.225 23.603  
ECO04655 215.229 40.121  
ECO07724 215.239  6.216  
ECO11647 215.283 35.295  
ECO08037 215.292 13.948  
ECO02493 215.300 22.883  
ECO02409 215.306 20.715  
ECO00870 215.318 40.172  
ECO04658 215.318 23.480  
ECO02465 215.320 22.042  
ECO06502 215.328 12.506  
ECO12019 215.331 34.532  
ECO06503 215.340 36.428  
ECO04656 215.348 11.271  
ECO04660 215.355 35.271  
ECO04661 215.383 38.118  
ECO04662 215.410 35.205  
ECO04659 215.419 13.232  
ECO08380 215.446 23.427  
ECO06504 215.468 23.517  
ECO04663 215.469 39.979  
ECO06505 215.470 24.107  
ECO06506 215.482 34.805  
ECO09592 215.488 40.196  
ECO12587 215.494 18.484  
ECO00293 215.504 11.381  
ECO10540 215.586 40.857  
ECO04667 215.618 40.320  
ECO04666 215.620 37.122  
ECO04664 215.628 11.305  
ECO09604 215.635 40.592  
ECO04669 215.635 39.585  
ECO10873 215.656 38.772  
ECO00413 215.663 46.523  
ECO04665 215.667  6.167  
ECO08460 215.712 24.752  
ECO06507 215.722 40.310  
ECO04671 215.736 40.417  
ECO04670 215.746 23.794  
ECO04672 215.757 40.377  
ECO01101 215.763 25.293  
ECO01622 215.767  7.274  
ECO01623 215.776 34.392  
ECO00871 215.784 25.299  
ECO00157 215.859 12.968  
ECO12582 215.867 18.029  
ECO08429 215.878 24.247  
ECO12584 215.888 17.583  
ECO10671 215.912  9.116  
ECO04674 215.927 34.009  
ECO04676 215.937 40.024  
ECO04675 215.943 34.017  
ECO04673 215.961  6.576  
ECO02198 216.016 22.588  
ECO04677 216.032 34.859  
ECO09868 216.033 46.800  
ECO02492 216.057 22.796  
ECO08593 216.061 26.164  
ECO10034 216.068 33.613  
ECO12085 216.071 32.675  
ECO07642 216.073  4.699  
ECO04678 216.096 24.614  
ECO06726 216.097 13.799  
ECO02193 216.138 21.263  
ECO04681 216.175 35.267  
ECO08598 216.204 26.228  
ECO04683 216.208 35.285  
ECO04684 216.214 38.254  
ECO04682 216.236 25.025  
ECO12201 216.250 23.125  
ECO06900 216.257 33.431  
ECO00158 216.294 13.727  
ECO04685 216.305 13.744  
ECO00265 216.321 32.449  
ECO08505 216.322 25.291  
ECO04687 216.336 32.482  
ECO10672 216.336 25.708  
ECO04686 216.345 26.466  
ECO06508 216.363 25.526  
ECO11881 216.389 33.848  
ECO06509 216.392 13.816  
ECO04688 216.414 25.378  
ECO00156 216.448 12.229  
ECO08527 216.457 25.497  
ECO11914 216.470  6.537  
ECO08563 216.478 25.768  
ECO04689 216.514 38.777  
ECO00125 216.526 27.244  
ECO12012 216.535 12.199  
ECO09685 216.547 42.711  
ECO04690 216.551 48.564  
ECO07711 216.553  5.909  
ECO10673 216.564 25.466  
ECO02651 216.572 15.686  
ECO07715 216.580  5.956  
ECO06510 216.583 25.401  
ECO07720 216.587  6.164  
ECO10674 216.589 10.163  
ECO09726 216.620 43.471  
ECO01624 216.723 34.071  
ECO04692 216.744 31.517  
ECO04694 216.786 33.252  
ECO04693 216.790 30.948  
ECO10054 216.811 25.889  
ECO06901 216.820 38.369  
ECO08573 216.848 25.878  
ECO07523 216.852  3.072  
ECO10875 216.858  2.945  
ECO04697 216.858 25.514  
ECO02467 216.864 21.650  
ECO01204 216.865 27.988  
ECO10675 216.870 25.632  
ECO04698 216.871 29.952  
ECO06795 216.877 40.964  
ECO10676 216.888 11.370  
ECO04695 216.898  2.954  
ECO09493 216.899 38.564  
ECO10169 216.900  1.879  
