#name     Ra     Dec
ECO00222 228.421 13.810  
ECO04917 228.458 42.008  
ECO00166 228.489 27.254  
ECO00424 228.493 33.140  
ECO04918 228.504 44.591  
ECO11747 228.534 25.700  
ECO04915 228.550 13.894  
ECO02050 228.551 13.810  
ECO02656 228.560 13.679  
ECO04916 228.563 20.478  
ECO06571 228.592 22.909  
ECO11919 228.595  6.052  
ECO12160 228.639 25.773  
ECO12161 228.675 25.717  
ECO09700 228.679 43.040  
ECO06817 228.750  6.805  
ECO04919 228.763 42.050  
ECO04920 228.771 42.209  
ECO04922 228.773 43.151  
ECO01643 228.786 42.317  
ECO09706 228.797 43.160  
ECO11268 228.865 22.838  
ECO04923 228.878 25.456  
ECO09708 228.916 43.178  
ECO11904 228.985 43.167  
ECO00513 228.990 46.791  
ECO02051 229.010 13.599  
ECO10686 229.014 10.507  
ECO11648 229.017 43.160  
ECO12528 229.032 16.237  
ECO04924 229.045 10.509  
ECO11705 229.079 24.868  
ECO12437 229.165 42.954  
ECO10545 229.177 36.614  
ECO12495 229.218 16.771  
ECO06818 229.218  6.539  
ECO06810 229.230 43.110  
ECO04925 229.237 11.029  
ECO11748 229.246 24.488  
ECO00100 229.282 10.524  
ECO06882 229.321 46.708  
ECO00587 229.327 29.399  
ECO08395 229.352 23.600  
ECO06572 229.355 42.956  
ECO08389 229.384 23.563  
ECO07862 229.425  9.979  
ECO11290 229.530  9.497  
ECO02510 229.544 14.448  
ECO04926 229.549 14.599  
ECO12140 229.600 23.925  
ECO00666 229.661 42.390  
ECO12193 229.667 22.087  
ECO04929 229.682 41.866  
ECO04927 229.777  9.775  
ECO04928 229.777  9.799  
ECO06573 229.812 44.916  
ECO09866 229.827 46.796  
ECO06574 229.831 45.790  
ECO02052 229.835 12.001  
ECO04930 229.855 11.054  
ECO04931 229.855 45.880  
ECO01644 229.867 41.647  
ECO12214 229.921 20.894  
ECO12443 230.059 17.731  
ECO04933 230.072 12.455  
ECO10687 230.080 11.345  
ECO02516 230.087 13.806  
ECO12438 230.108 43.049  
ECO09598 230.120 40.366  
ECO06978 230.209 49.514  
ECO07884 230.232 10.492  
ECO09689 230.234 42.775  
ECO12142 230.240 24.444  
ECO00217 230.268 15.269  
ECO00665 230.270 42.982  
ECO00208 230.289 15.334  
ECO01645 230.294 36.912  
ECO02666 230.304 12.937  
ECO04934 230.306 15.314  
ECO04937 230.309 41.726  
ECO02667 230.322 12.950  
ECO09280 230.328 35.318  
ECO02053 230.354 14.245  
ECO02054 230.364 15.118  
ECO04935 230.371 15.137  
ECO02381 230.389 15.868  
ECO06799 230.395 41.905  
ECO04936 230.404 11.257  
ECO02055 230.417 15.286  
ECO04939 230.440 23.153  
ECO02056 230.452 14.339  
ECO04938 230.486 10.568  
ECO04940 230.494 41.126  
ECO09736 230.508 43.532  
ECO09664 230.574 42.287  
ECO02328 230.579 17.026  
ECO11811 230.629 19.261  
ECO12205 230.664 22.994  
ECO04942 230.687 29.769  
ECO09776 230.691 44.350  
ECO06713 230.695 37.700  
ECO02057 230.711 15.022  
ECO09443 230.714 37.694  
ECO04941 230.732 14.999  
ECO12206 230.739 23.030  
ECO11952 230.753 36.113  
ECO01646 230.755 36.133  
ECO06749 230.771 11.765  
ECO12208 230.783 19.084  
ECO00153 230.799  6.317  
ECO02058 230.822 12.701  
ECO02059 230.824 16.086  
ECO06575 230.842 12.693  
ECO04944 230.854 12.715  
ECO00415 230.882 46.903  
ECO10946 230.911 35.336  
ECO06577 230.912 37.807  
ECO01081 230.929 25.302  
ECO07911 230.931 10.929  
ECO07493 230.942  2.670  
ECO10886 230.946  4.261  
ECO02062 230.956 17.761  
ECO04946 230.982 46.599  
ECO02279 230.999 15.161  
ECO07165 231.014 46.574  
ECO12482 231.019 15.529  
ECO04945 231.034 13.594  
ECO06902 231.042 42.069  
ECO00221 231.053 11.694  
ECO09281 231.057 35.324  
ECO04947 231.060 42.397  
ECO12484 231.095 15.489  
ECO12204 231.107 19.716  
ECO12010 231.113  6.024  
ECO12543 231.116 16.100  
ECO09785 231.134 44.662  
ECO02581 231.176 13.476  
ECO06578 231.205 42.173  
ECO01004 231.208 14.973  
ECO09211 231.212 34.063  
ECO02657 231.242 13.139  
ECO02063 231.245  4.790  
ECO04948 231.248 13.445  
ECO11999 231.253  6.662  
ECO02064 231.261 12.853  
ECO11918 231.268  4.830  
ECO00188 231.268  7.282  
ECO11912 231.271  4.906  
ECO04950 231.272 19.835  
ECO04949 231.286 12.882  
ECO02511 231.337 14.010  
ECO04951 231.339 13.730  
ECO08891 231.348 29.172  
ECO02590 231.379 13.315  
ECO02065 231.380  6.320  
ECO04952 231.392 18.278  
ECO07804 231.456  8.611  
ECO08332 231.475 22.644  
ECO06903 231.479 41.910  
ECO00639 231.501 20.747  
ECO04953 231.511 16.323  
ECO04955 231.512 18.074  
ECO09780 231.516 44.534  
ECO04956 231.525 41.670  
ECO04957 231.533 41.676  
ECO12496 231.538 16.166  
ECO12083 231.589 26.831  
ECO08374 231.621 23.385  
ECO04958 231.627 41.289  
ECO09692 231.632 42.875  
ECO04959 231.673 40.564  
ECO06579 231.679 46.444  
ECO00903 231.685 40.580  
ECO10035 231.688 33.683  
ECO09542 231.714 39.185  
ECO07569 231.716  3.598  
ECO10887 231.736  4.073  
ECO07920 231.754 11.139  
ECO09782 231.801 44.597  
ECO00191 231.858 11.284  
ECO02066 231.878 15.488  
ECO12000 231.895  6.900  
ECO06800 231.933 43.069  
ECO11728 231.989 34.966  
ECO09695 231.991 42.971  
ECO02067 231.994 17.131  
ECO12626 232.018 12.004  
ECO06580 232.040 43.007  
ECO09662 232.041 42.204  
ECO04961 232.053 42.930  
ECO04962 232.069 42.944  
ECO04960 232.088 13.677  
ECO07874 232.146 10.181  
ECO08386 232.160 23.500  
ECO02068 232.171  1.378  
ECO10947 232.197 44.280  
ECO09643 232.232 41.621  
ECO02591 232.237 13.213  
ECO04963 232.317 39.628  
ECO10888 232.337 46.836  
ECO02668 232.379 12.540  
ECO11998 232.404  5.973  
ECO04968 232.418 42.654  
ECO04969 232.434 42.778  
ECO04970 232.438 42.919  
ECO00904 232.460 42.774  
ECO11668 232.461 42.629  
ECO00402 232.462 42.749  
ECO04964 232.503 12.989  
ECO04967 232.504 23.639  
ECO09359 232.534 36.510  
ECO04966 232.545  5.838  
ECO12632 232.577 12.841  
ECO06581 232.630 14.710  
ECO02358 232.631 14.920  
ECO08499 232.641 25.261  
ECO12084 232.649 26.736  
ECO04971 232.652 42.717  
ECO00905 232.685 47.319  
ECO12174 232.739 20.744  
ECO08352 232.757 22.873  
ECO07019 232.788 45.033  
ECO06582 232.789 47.050  
ECO10889 232.799 42.116  
ECO00906 232.831 18.619  
ECO01076 232.839 47.024  
ECO04972 232.878 40.430  
ECO00195 232.923 12.741  
ECO09766 232.941 44.108  
ECO12001 232.944  6.839  
ECO11236 232.948 10.629  
ECO12002 233.040  6.765  
ECO00194 233.042 11.158  
ECO12177 233.043 20.882  
ECO09745 233.066 43.629  
ECO12639 233.130 12.061  
ECO11382 233.135  8.765  
ECO06583 233.136 41.980  
ECO09315 233.143 35.867  
ECO11739 233.161 10.453  
ECO04973 233.216 41.192  
ECO09329 233.218 36.127  
ECO06714 233.232 42.438  
ECO08143 233.237 18.413  
ECO04974 233.259 36.474  
ECO02593 233.301 12.953  
ECO04975 233.305 41.077  
ECO09921 233.319 48.120  
ECO12163 233.334 22.186  
ECO06584 233.334 37.970  
ECO00907 233.372 43.189  
ECO09620 233.377 41.096  
ECO12183 233.386 21.768  
ECO12199 233.399 21.151  
ECO02069 233.404 21.054  
ECO01005 233.408 20.998  
ECO06585 233.423 28.145  
ECO04977 233.440 21.011  
ECO09724 233.441 43.446  
ECO04978 233.454 21.136  
ECO00514 233.472 40.776  
ECO06729 233.490 21.790  
ECO04980 233.517 22.934  
ECO06586 233.529 18.649  
ECO04979 233.533 14.395  
ECO09711 233.536 43.243  
ECO06588 233.561 43.245  
ECO04981 233.613 12.270  
ECO09746 233.639 43.637  
ECO06801 233.653 43.039  
ECO12620 233.676 10.898  
ECO12619 233.677 12.694  
ECO06589 233.679  8.334  
ECO04982 233.692  6.298  
ECO09986 233.726 47.762  
ECO11597 233.739 23.504  
ECO04983 233.739 23.503  
ECO06590 233.751 46.814  
ECO00515 233.776 43.056  
ECO02074 233.787 28.700  
ECO01097 233.823  9.447  
ECO04984 233.830 20.843  
ECO00908 233.855 43.474  
ECO12198 233.855 21.460  
ECO12629 233.871 12.517  
ECO02175 233.913  2.427  
ECO09720 233.914 43.426  
ECO04985 233.915 12.606  
ECO12497 233.920 15.549  
ECO04986 233.940  8.870  
ECO06591 233.947 40.114  
ECO09714 233.948 43.352  
ECO12207 233.951 21.740  
ECO04989 233.967 39.769  
ECO04988 233.969 14.517  
ECO06592 233.973 38.681  
ECO08393 233.973 23.582  
ECO04990 233.975 38.675  
ECO04991 233.988 43.493  
ECO04994 234.012 43.503  
ECO09718 234.028 43.407  
ECO10279 234.032 43.647  
ECO10282 234.084 43.413  
ECO04995 234.113 43.519  
ECO12196 234.115 20.370  
ECO04992 234.116 22.501  
ECO10948 234.130 41.870  
ECO04996 234.146 43.425  
ECO04993 234.151 17.338  
ECO04998 234.175 43.539  
ECO12164 234.176 21.889  
ECO04999 234.187 44.237  
ECO00035 234.194  7.834  
ECO09753 234.219 43.867  
ECO05001 234.305 43.298  
ECO09725 234.313 43.450  
ECO01647 234.339 41.898  
ECO05000 234.345 20.550  
ECO06593 234.359 45.018  
ECO09647 234.378 41.878  
ECO08605 234.415 26.252  
ECO01165 234.424 20.783  
ECO09731 234.463 43.501  
ECO12210 234.485 22.270  
ECO12166 234.493 22.250  
ECO02070 234.509  5.253  
ECO05002 234.545  4.780  
ECO07753 234.558  7.462  
ECO05004 234.588 33.185  
ECO09959 234.592 45.802  
ECO10890 234.592 40.156  
ECO09917 234.605 48.056  
ECO11237 234.607 23.245  
ECO09748 234.620 43.733  
ECO05003 234.637 10.251  
ECO00909 234.650 33.277  
ECO05006 234.660 36.958  
ECO06594 234.668 41.005  
ECO02071 234.670 22.444  
ECO02512 234.696 14.071  
ECO00147 234.726  8.594  
ECO05005 234.729  4.582  
ECO11238 234.761 23.657  
ECO05012 234.782 43.865  
ECO08469 234.790 24.831  
ECO09756 234.802 43.962  
ECO05010 234.806 14.177  
ECO09839 234.814 46.133  
ECO06802 234.814 46.836  
ECO09752 234.842 43.866  
ECO11306 234.859 24.944  
ECO05011 234.865 24.948  
ECO09236 234.942 34.663  
ECO01006 234.952  8.446  
ECO10026 234.959 34.658  
ECO05014 234.992 21.471  
ECO05013 235.014 13.977  
ECO05015 235.028 20.680  
ECO07176 235.077 -0.813  
ECO08336 235.081 22.658  
ECO07574 235.084  3.634  
ECO06595 235.110 34.927  
ECO00910 235.122  0.910  
ECO06596 235.154 26.349  
ECO06597 235.156 35.771  
ECO11239 235.175 23.833  
ECO05017 235.177 43.751  
ECO09741 235.193 43.543  
ECO11542 235.193 23.231  
ECO01098 235.230  4.486  
ECO05016 235.300 15.573  
ECO08200 235.350 20.042  
ECO02669 235.354 11.985  
ECO05018 235.377 15.788  
ECO12444 235.401 16.034  
ECO10547 235.449 36.157  
ECO06750 235.480 10.451  
ECO08408 235.493 23.806  
ECO05021 235.552 23.800  
ECO05024 235.564 39.984  
ECO05022 235.582 23.808  
ECO06599 235.601 41.624  
ECO00393 235.607 40.105  
ECO07768 235.619  7.764  
ECO05019 235.643  2.014  
ECO05023 235.648 23.670  
ECO00911 235.656 40.063  
ECO11240 235.670 23.809  
ECO05025 235.690 23.793  
ECO01007 235.692 12.060  
ECO10548 235.696 35.569  
ECO05026 235.714 23.773  
ECO11241 235.715 23.836  
ECO02398 235.720 15.175  
ECO11393 235.721 24.437  
ECO05027 235.775 15.771  
ECO08406 235.778 23.787  
ECO00501 235.778 35.544  
ECO10071 235.789 18.132  
ECO08421 235.796 24.119  
ECO11242 235.816 18.086  
ECO05028 235.817  9.724  
ECO12016 235.823  9.699  
ECO11243 235.850 22.542  
ECO02176 235.868  2.329  
ECO05029 235.875  4.794  
ECO00305 235.893  3.746  
ECO10361 235.902 43.980  
ECO11244 235.984 23.016  
ECO05030 235.996 19.211  
ECO09641 235.996 41.584  
ECO06600 236.030 47.295  
ECO00562 236.034 22.980  
ECO10283 236.051 41.630  
ECO08446 236.079 24.531  
ECO09857 236.106 46.660  
ECO08156 236.119 19.253  
ECO10688 236.145 46.215  
ECO11246 236.175 23.036  
ECO05034 236.191 46.079  
ECO11896 236.206  3.956  
